filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/assets/TOC.md,,,,,,
help/assets/home.md,Assets Guide,"This guide covers all Experience Manager Assets tasks, such as how to create, manage, deliver, and optimize digital assets.",Asset Management,,"Business Practitioner, Architect, Administrator",
help/assets/assets.md,Introduction to [!DNL Adobe Experience Manager Assets],"Learn what is digital asset management, its use cases, and [!DNL Adobe Experience Manager Asset] offering.",Asset Management,,"Leader, Architect, Business Practitioner",
help/assets/best-practices-for-assets.md,Best Practices for [!DNL Assets],Enhances system stability and performance under load by identifying and adhering to best practices that depend on your deployment and configuration.,Asset Management,,"Architect, Administrator",
help/assets/accessibility.md,Accessibility in [!DNL Experience Manager Assets],Know how accessibility features in [!DNL Adobe Experience Manager] 6.5 [!DNL Assets] help users with disabilities.,Asset Management,,"Business Practitioner, Architect, Leader",
help/assets/assets-home-page.md,[!DNL Assets] Home Page experience,"Personalize the [!DNL Experience Manager Assets] Home page for a rich welcome screen experience, including a snapshot of recent activities around assets.","Developer Tools, Asset Management",,"Administrator, Business Practitioner",
help/assets/search-assets.md,Search digital assets and images in [!DNL Adobe Experience Manager],"Learn how to find the required assets in [!DNL Adobe Experience Manager] by using Filters panel, and how to use the assets that show up in search.","Search, Metadata",,Business Practitioner,
help/assets/metadata.md,Manage metadata of your digital assets in [!DNL Adobe Experience Manager].,Learn about the types of metadata an how [!DNL Adobe Experience Manager Assets] helps manage metadata for assets to allow easier categorization and organization of assets. [!DNL Experience Manager] makes it possible to automatically organize and process assets based on their metadata.,"Tagging, Metadata",,"Architect, Leader",
help/assets/multilingual-assets.md,Multilingual assets and asset translation,"Learn how to automate workflows to translate assets, including binaries, metadata, and tags into multiple languages.",Asset Management,,Administrator,
help/assets/aem-assets-adobe-stock.md,Manage [!DNL Adobe Stock] assets,"Search, fetch, license, and manage [!DNL Adobe Stock] assets from within [!DNL Adobe Experience Manager]. Use the licensed assets as any other digital asset.","Search, Adobe Stock",,"Business Practitioner, Administrator",
help/assets/previewing-3d-assets.md,Previewing 3D assets,Learn how to preview 3D assets,3D Assets,,,
help/assets/bulk-approval.md,Review folder assets and collections,Set up review workflows for assets within a folder or a collection and share it with reviewers or creative partners to seek feedback.,"Collaboration, Collections",,Business Practitioner,
