filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/forms/TOC.md,,,,,Business Practitioner,
help/forms/home.md,Adobe Experience Manager 6.5 Forms Guide,"This guide covers all AEM Forms tasks, including how to create, manage, publish, and update digital forms.",,,,
help/forms/using/whats-new.md,New features summary | AEM 6.5 Forms,Latest features and improvements to forms and documents of world’s most advanced digital experience management solution.,,,,
help/forms/using/introduction-aem-forms.md,Introduction to AEM Forms,"With Adobe Experience Manager Forms, business users can integrate engaging, responsive, and adaptive forms into web and mobile sites, simplifying the digital enrollment process and increasing customer conversion rates.",Adaptive Forms,,,
help/forms/using/introduction-forms-authoring.md,Introduction to authoring adaptive forms,AEM Forms provide easy-to-use yet powerful interface for authoring adaptive forms. It provides a host of components and tools that you can use to build forms.,Adaptive Forms,,,
help/forms/using/interactive-communications-overview.md,Interactive Communications Overview,"This article includes overview, sample use cases, creation workflow, and differences between Interactive Communication and letter.",,,,
help/forms/using/introduction-managing-forms.md,Introduction to managing forms,AEM Forms provides tools to manage Adaptive Forms and related assets. This article introduces you to the key forms management capabilities and user interface elements.,,,,
help/forms/using/create-your-first-adaptive-form.md,"""Tutorial: Create your first adaptive form""","Learn to create business class, interactive, and responsive forms.",Adaptive Forms,,,
help/forms/using/create-adaptive-form.md,"""Tutorial: Create an adaptive form""","Learn to create, layout, and preview an adaptive form. Also, learn to configure submit actions.",Adaptive Forms,,,
help/forms/using/create-form-data-model.md,"""Tutorial: Create form data model """,Create form data model,,,,
help/forms/using/apply-rules-to-adaptive-form-fields.md,"""DO NOT PUBLISH Tutorial: Apply rules to adaptive form fields""","Create rules to add interactivity, business logic, and smart validations to an adaptive form.",,,,
help/forms/using/style-your-adaptive-form.md,Style your adaptive form ,"Learn to create a custom theme, style individual components, and use web fonts in a theme ",Adaptive Forms,,,
./help/forms/using/publish-your-adaptive-form.md,"""Tutorial: Publish your adaptive form""","Publish the adaptive form as an AEM page, embed the form to an AEM Sites page, or embed the adaptive form in an external webpage",Adaptive Forms,,,
./help/forms/using/testing-your-adaptive-form.md,"""Tutorial: Testing your adaptive form""",Use automated testing to test multiple adaptive forms at once.,Adaptive Forms,,,
help/forms/using/create-your-first-interactive-communication.md,Tutorial - Create your first Interactive Communication,Learn to create your first Interactive Communication.,Interactive Communication,,,
help/forms/using/planning-interactive-communications.md,"""Tutorial: Plan the Interactive Communication""",Plan the anatomy for your Interactive Communication,Interactive Communication,,,
help/forms/using/create-form-data-model0.md,"""Tutorial: Create form data model""",Create form data model for Interactive Communication,Interactive Communication,,,
help/forms/using/create-document-fragments.md,"""Tutorial: Create document fragments""",Create document fragments for Interactive Communication,Interactive Communication,,,
