SYMBOLIC NAME                                      BUNDLE NAME                                                   VERSION
com.day.cq.dam.cq-dam-stock-integration            Adobe CQ DAM Stock Integration                                1.0.0
com.adobe.stock.api                                Adobe Stock Apis SDK                                          1.0.2
com.adobe.cq.cq-experience-fragments               AEM - Experience Fragments                                    1.1.230
com.adobe.cq.inbox.cq-inbox-ui                     AEM - Inbox UI                                                1.1.10
com.adobe.cq.cq-target-integration                 AEM 6 - Adobe Target integration                              1.2.48
com.adobe.cq.cq-analytics-integration              AEM 6 Analytics Integration Bundle                            1.2.20
com.adobe.cq.social.cq-social-activitystreams      AEM Communities ActivityStreams - Bundle                      1.5.26
com.adobe.cq.social.cq-social-as-provider          AEM Communities AdobeSocial Resource Provider - Bundle        1.4.8
com.adobe.cq.social.cq-social-badging-impl         AEM Communities Badging - Bundle                              1.2.11
com.adobe.cq.social.cq-social-calendar-api         AEM Communities Calendar - API Bundle                         1.5.8
com.adobe.cq.social.cq-social-calendar-impl        AEM Communities Calendar - Impl Bundle                        1.5.15
com.adobe.cq.social.cq-social-commons              AEM Communities Commons - Bundle                              1.9.68
com.adobe.cq.social.cq-social-group                AEM Communities CommunityGroup - Bundle                       1.6.34
com.adobe.cq.social.cq-social-console              AEM Communities Console - Bundle                              1.5.70
com.adobe.cq.social.cq-social-enablement-impl      AEM Communities Enablement Impl - Bundle                      2.2.38
com.adobe.cq.social.cq-social-filelibrary          AEM Communities File Library - Bundle                         1.4.12
com.adobe.cq.social.cq-social-forum                AEM Communities Forum - Bundle                                1.7.9
com.adobe.cq.social.cq-social-gamification-api     AEM Communities Gamification API - Bundle                     1.1.8
com.adobe.cq.social.cq-social-handlebars           AEM Communities Handlebars Scripting Engine - Bundle          1.9.11
com.adobe.cq.social.cq-social-ideation-impl        AEM Communities Ideation - Bundle                             1.1.9
com.adobe.cq.social.cq-social-ideation-api         AEM Communities Ideation API - Bundle                         1.1.7
com.adobe.cq.social.cq-social-jcr-provider         AEM Communities JCR Resource Provider (6.2+ glue) - Bundle    1.3.6
com.adobe.cq.social.cq-social-jcr-provider-common  AEM Communities JCR Resource Provider Common Code - Bundle    1.3.7
com.adobe.cq.social.cq-social-journal              AEM Communities Journal - Bundle                              1.5.11
com.adobe.cq.social.cq-social-members-impl         AEM Communities Members Impl - Bundle                         1.2.7
com.adobe.cq.social.cq-social-messaging-api        AEM Communities Messaging - API Bundle                        1.5.8
com.adobe.cq.social.cq-social-messaging-impl       AEM Communities Messaging - Impl Bundle                       1.5.13
com.adobe.cq.social.cq-social-moderation           AEM Communities Moderation - Bundle                           2.4.12
com.adobe.cq.social.cq-social-ms-provider          AEM Communities Mongo Storage Resource Provider - Bundle      1.1.8
com.adobe.cq.social.cq-social-notifications-api    AEM Communities Notifications - API Bundle                    1.2.10
com.adobe.cq.social.cq-social-notifications-impl   AEM Communities Notifications - IMPL Bundle                   1.2.22
com.adobe.cq.social.cq-social-qna                  AEM Communities QnA - Bundle                                  1.6.10
com.adobe.cq.social.cq-social-rdb-provider         AEM Communities Relational Social Resource Provider - Bundle  1.2.10
com.adobe.cq.social.cq-social-review               AEM Communities Review - Bundle                               1.5.6
com.adobe.cq.social.cq-social-scf-api              AEM Communities SCF - API Bundle                              2.1.7
com.adobe.cq.social.cq-social-scf-impl             AEM Communities SCF - Impl Bundle                             2.1.11
com.adobe.cq.social.cq-social-srp-impl             AEM Communities SRP - Impl Bundle                             1.3.19
com.adobe.cq.social.cq-social-srp-api              AEM Communities SRP Base - API Bundle                         1.3.16
com.adobe.cq.social.cq-social-scoring-impl         AEM Communities Scoring - Bundle                              2.2.11
com.adobe.cq.social.cq-social-ugcbase-impl         AEM Communities UGC Base - Impl Bundle                        2.4.20
com.day.cq.cq-personalization                      AEM Personalization                                           5.11.58
com.adobe.cq.com.adobe.cq.sites.ui                 AEM Sites - UI Utilities                                      0.2.18
com.adobe.cq.com.adobe.cq.ui.commons               AEM UI WCM Commons Bundle                                     1.2.28.CQ640-B0003
com.adobe.cq.cq-dtm                                Adobe CQ - DTM Integration Bundle                             0.4.12
com.adobe.cq.dtm-reactor.core                      Adobe CQ Activation DTM Core Bundle                           1.0.42
com.adobe.cq.dtm-reactor.ui                        Adobe CQ Activation DTM UI Bundle                             1.0.10
com.adobe.cq.cq-content-insight                    Adobe CQ Content Insight and Recommendations                  1.4.4
com.adobe.cq.cq-dam-mac-sync                       Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle   1.4.30
com.adobe.cq.cq-dam-mac-sync-helper                Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Helper   1.4.14
com.day.cq.dam.cq-dam-entitlement                  Adobe CQ DAM Entitlement Implementation                       1.2.14
com.adobe.cq.dam.cq-scene7-imaging                 Adobe CQ DAM Scene7 Dynamic Imaging                           1.5.16
com.adobe.cq.cq-experiencelog                      Adobe CQ Experience Log Client Bundle                         1.3.6
com.adobe.cq.export.json                           Adobe CQ JSON Exporter                                        0.1.10
com.adobe.cq.export.json.impl                      Adobe CQ JSON Exporter Implementation                         0.1.8
com.day.cq.wcm.cq-wcm-translation                  Adobe CQ Translation Workflow                                 1.4.166
com.day.cq.wcm.cq-wcm-foundation                   Adobe CQ WCM Foundation Components                            5.11.52
com.adobe.granite.auth.saml                        Adobe Granite - SAML 2.0 Authentication Handler               1.0.10.CQ640-B0002
com.adobe.granite.crx-packagemgr                   Adobe Granite CRX Package Manager                             1.2.60.CQ640-B0001
com.adobe.granite.auth.ims                         Adobe Granite IMSAuthentication Handler                       1.1.14.CQ640-B0004
com.adobe.granite.auth.oauth                       Adobe Granite OAuth Authentication Handler                    1.5.26.CQ640-B0004
com.adobe.granite.omnisearch.core                  Adobe Granite Omnisearch Core Module                          1.0.86.CQ640-B0003
com.day.cq.cq-replication                          Adobe Granite Replication                                     6.2.46.CQ640-B0002
com.adobe.granite.ui.clientlibs                    Adobe Granite UI Clientlibs                                   1.0.76.CQ640-B0001
com.adobe.granite.ui.clientlibs.processor.gcc      Adobe Granite UI Clientlibs - Google Closure Compiler         1.0.8.CQ640-B0001
com.adobe.granite.ui.commons                       Adobe Granite UI Commons                                      5.10.2.CQ640-B0001
com.adobe.granite.workflow.console                 Adobe Granite Workflow Console                                1.0.86.CQ640-B0004
com.adobe.granite.workflow.core                    Adobe Granite Workflow Core                                   2.0.168.CQ640-B0006
com.adobe.cq.adobeims.core                         Adobe IMS Core Bundle                                         1.0.22
org.apache.commons.codec                           Apache Commons Codec                                          1.11.0
org.apache.commons.io                              Apache Commons IO                                             2.6.0
org.apache.felix.http.jetty                        Apache Felix Http Jetty                                       4.0.2
org.apache.felix.http.whiteboard                   Apache Felix Http Whiteboard                                  4.0.0
org.apache.jackrabbit.jackrabbit-api               Apache Jackrabbit API                                         2.16.3
org.apache.jackrabbit.vault                        Apache Jackrabbit FileVault Core Bundle                       3.2.0
org.apache.sling.distribution.core                 Apache Sling Distribution Core                                0.2.11.T20180619143200-4981256
org.apache.sling.event                             Apache Sling Event Support                                    4.2.12
org.apache.sling.i18n                              Apache Sling I18N Support                                     2.5.12
org.apache.sling.scripting.sightly.compiler        Apache Sling Scripting HTL Compiler                           1.0.22.1_4_0
org.apache.sling.scripting.sightly                 Apache Sling Scripting HTL Engine                             1.0.54.1_4_0
org.apache.sling.scripting.sightly.compiler.java   Apache Sling Scripting HTL Java Compiler                      1.0.24.1_4_0
org.apache.sling.security                          Apache Sling Security                                         1.1.12
com.adobe.cq.cq-product-info-provider              CQ ProductInfo Provider                                       6.4.6
com.adobe.cq.com.adobe.cq.projects.core            CQ Projects - Core Bundle                                     0.4.30
com.adobe.dam.cq-dam-cfm-impl                      ContentFragmentManagement - Implementation                    0.10.70
com.day.cq.dam.cq-dam-similaritysearch             DAM Similarity Search Bundle                                  5.11.40
com.day.cq.cq-commons                              Day Communique 5 Commons Library                              5.11.14
com.day.cq.dam.cq-dam-api                          Day Communique 5 DAM API                                      5.11.70
com.day.cq.dam.cq-dam-handler                      Day Communique 5 DAM Asset Handler Implementation             5.11.26
com.day.cq.dam.cq-dam-commons                      Day Communique 5 DAM Commons                                  5.11.180
com.day.cq.dam.cq-dam-core                         Day Communique 5 DAM Core Implementation                      5.11.326
com.day.cq.dam.cq-dam-indesign                     Day Communique 5 DAM InDesign Integration                     5.11.32
com.day.cq.dam.cq-dam-scene7                       Day Communique 5 DAM Scene7 Integration                       5.11.108
com.day.cq.mcm.cq-mcm-salesforce                   Day Communique 5 MCM Salesforce.com Integration               1.5.10
com.day.cq.cq-mailer                               Day Communique 5 Mailer                                       5.14.2
com.day.cq.wcm.cq-wcm-core                         Day Communique 5 WCM Core Implementation                      5.11.240
com.day.cq.wcm.cq-wcm-designimporter               Day Communique 5 WCM Design Importer                          1.5.14
com.day.cq.wcm.cq-msm-core                         Day Communique 5 WCM Multi Site Management Core               5.11.38
com.day.cq.wcm.cq-wcm-webservice-support           Day Communique 5 WCM Webservice Support                       5.11.26
com.day.cq.dam.cq-dam-s7dam                        Day Communique 5.6 DAM s7 Dam Integration                     5.11.168
com.adobe.granite.logging                          Granite Logging - Analysis                                    1.0.26.CQ640-B0002
org.apache.jackrabbit.jackrabbit-data              Jackrabbit Data                                               2.16.3
org.apache.jackrabbit.jackrabbit-jcr-commons       Jackrabbit JCR Commons                                        2.16.3
org.apache.jackrabbit.jackrabbit-spi               Jackrabbit SPI                                                2.16.3
org.apache.jackrabbit.jackrabbit-spi-commons       Jackrabbit SPI Commons                                        2.16.3
org.apache.jackrabbit.jackrabbit-webdav            Jackrabbit WebDAV Library                                     2.16.3
org.apache.jackrabbit.oak-api                      Oak API                                                       1.8.7
org.apache.jackrabbit.oak-blob-plugins             Oak Blob Plugins                                              1.8.7
org.apache.jackrabbit.oak-blob                     Oak Blob Store                                                1.8.7
org.apache.jackrabbit.oak-authorization-cug        Oak CUG Authorization                                         1.8.7
org.apache.jackrabbit.oak-commons                  Oak Commons                                                   1.8.7
org.apache.jackrabbit.oak-store-composite          Oak Composite Store                                           1.8.7
org.apache.jackrabbit.oak-core                     Oak Core                                                      1.8.7
org.apache.jackrabbit.oak-core-spi                 Oak Core SPI                                                  1.8.7
org.apache.jackrabbit.oak-store-document           Oak DocumentNodeStore                                         1.8.7
org.apache.jackrabbit.oak-auth-external            Oak External Authentication Support                           1.8.7
org.apache.jackrabbit.oak-jcr                      Oak JCR Binding                                               1.8.7
org.apache.jackrabbit.oak-auth-ldap                Oak LDAP Authentication Support                               1.8.7
org.apache.jackrabbit.oak-lucene                   Oak Lucene                                                    1.8.7
org.apache.jackrabbit.oak-store-spi                Oak NodeStore and Commit SPI                                  1.8.7
org.apache.jackrabbit.oak-query-spi                Oak Query SPI                                                 1.8.7
org.apache.jackrabbit.oak-security-spi             Oak Security SPI                                              1.8.7
org.apache.jackrabbit.oak-segment-tar              Oak Segment Tar                                               1.8.7
org.apache.jackrabbit.oak-solr-osgi                Oak Solr OSGi                                                 1.8.7
org.mongodb.mongo-java-driver                      mongo-java-driver                                             3.6.4
