SYMBOLIC NAME                                         BUNDLE NAME                                                    VERSION
com.day.cq.dam.cq-dam-stock-integration               Adobe CQ DAM Stock Integration                                 1.0.4
com.adobe.granite.acp.platform                        Adobe Granite ACP Platform                                     0.2.24
com.adobe.stock.api                                   Adobe Stock Apis SDK                                           1.0.2
com.adobe.cq.dam.cq-dam-ui-models                     AEM - DAM Sling Model Bundle                                   0.1.6
com.day.cq.com.adobe.cq.wcm.ui.components             AEM WCM Components - UI Utilities                              1.2.2
org.apache.commons.commons-codec                      Apache Commons Codec                                           1.12.0
com.day.cq.wcm.cq-msm-move-api                        Day Communique 5 WCM Multi Site Management Move Handle API     0.0.1.CQ640-B0001
com.sun.mail.javax.mail                               JavaMail API                                                   1.6.2
com.day.cq.remote.content.renderer                    Remote Content Renderer                                        2.0.4
updater.aem-service-pkg                               updater.aem-service-pkg                                        1.0
com.adobe.cq.cq-experience-fragments                  AEM - Experience Fragments                                     1.1.242
com.adobe.cq.inbox.cq-inbox-ui                        AEM - Inbox UI                                                 1.1.10
com.adobe.cq.cq-socialmedia-integration               AEM - Social Media Integration                                 1.1.18
com.adobe.cq.cq-target-integration                    AEM 6 - Adobe Target integration                               1.2.48
com.adobe.cq.cq-analytics-integration                 AEM 6 Analytics Integration Bundle                             1.2.22
com.adobe.cq.social.cq-social-activitystreams         AEM Communities ActivityStreams - Bundle                       1.5.28
com.adobe.cq.social.cq-social-as-provider             AEM Communities AdobeSocial Resource Provider - Bundle         1.4.8
com.adobe.cq.social.cq-social-badging-impl            AEM Communities Badging - Bundle                               1.2.11
com.adobe.cq.social.cq-social-calendar-api            AEM Communities Calendar - API Bundle                          1.5.9
com.adobe.cq.social.cq-social-calendar-impl           AEM Communities Calendar - Impl Bundle                         1.5.18
com.adobe.cq.social.cq-social-commons                 AEM Communities Commons - Bundle                               1.9.84
com.adobe.cq.social.cq-social-group                   AEM Communities CommunityGroup - Bundle                        1.6.40
com.adobe.cq.social.cq-social-console                 AEM Communities Console - Bundle                               1.5.77
com.adobe.cq.social.cq-social-enablement-api          AEM Communities Enablement Api - Bundle                        2.2.18
com.adobe.cq.social.cq-social-enablement-impl         AEM Communities Enablement Impl - Bundle                       2.2.41
com.adobe.cq.social.cq-social-reporting-management    AEM Communities Enablement Reporting Management- Bundle        1.2.3
com.adobe.cq.social.cq-social-filelibrary             AEM Communities File Library - Bundle                          1.4.12
com.adobe.cq.social.cq-social-forum                   AEM Communities Forum - Bundle                                 1.7.10
com.adobe.cq.social.cq-social-gamification-api        AEM Communities Gamification API - Bundle                      1.1.8
com.adobe.cq.social.cq-social-handlebars              AEM Communities Handlebars Scripting Engine - Bundle           1.9.13
com.adobe.cq.social.cq-social-ideation-impl           AEM Communities Ideation - Bundle                              1.1.11
com.adobe.cq.social.cq-social-ideation-api            AEM Communities Ideation API - Bundle                          1.1.7
com.adobe.cq.social.cq-social-jcr-provider            AEM Communities JCR Resource Provider (6.2+ glue) - Bundle     1.3.6
com.adobe.cq.social.cq-social-jcr-provider-common     AEM Communities JCR Resource Provider Common Code - Bundle     1.3.7
com.adobe.cq.social.cq-social-journal                 AEM Communities Journal - Bundle                               1.5.15
com.adobe.cq.social.cq-social-members-api             AEM Communities Members API - Bundle                           1.2.4
com.adobe.cq.social.cq-social-members-impl            AEM Communities Members Impl - Bundle                          1.2.8
com.adobe.cq.social.cq-social-messaging-api           AEM Communities Messaging - API Bundle                         1.5.8
com.adobe.cq.social.cq-social-messaging-impl          AEM Communities Messaging - Impl Bundle                        1.5.13
com.adobe.cq.social.cq-social-moderation              AEM Communities Moderation - Bundle                            2.4.13
com.adobe.cq.social.cq-social-ms-provider             AEM Communities Mongo Storage Resource Provider - Bundle       1.1.8
com.adobe.cq.social.cq-social-notifications-api       AEM Communities Notifications - API Bundle                     1.2.12
com.adobe.cq.social.cq-social-notifications-impl      AEM Communities Notifications - IMPL Bundle                    1.2.25
com.adobe.cq.social.cq-social-qna                     AEM Communities QnA - Bundle                                   1.6.11
com.adobe.cq.social.cq-social-rdb-provider            AEM Communities Relational Social Resource Provider - Bundle   1.2.12
com.adobe.cq.social.cq-social-review                  AEM Communities Review - Bundle                                1.5.6
com.adobe.cq.social.cq-social-scf-api                 AEM Communities SCF - API Bundle                               2.1.8
