SYMBOLIC NAME                                     BUNDLE NAME                                                        VERSION
cq-dam-cfm-graphql                                Adobe Experience Manager GraphQL for Content Fragments             0.0.1.CQ650-B0006
com.adobe.aem.graphql.sites-api                   Adobe Experience Manager GraphQL for Sites - API                   0.0.1.CQ650-B0004
com.adobe.aem.graphql.sites-base                  Adobe Experience Manager GraphQL for Sites - Base Module           0.0.1.CQ650-B0004
com.adobe.aem.com.adobe.aem.graphql-java-wrapper  Adobe Experience Manager GraphQL Java Wrapper                      0.0.1.CQ650-B0004
com.adobe.aem.graphql.sling-adapter               Adobe Experience Manager GraphQL Sling Adapter                     0.0.1.CQ650-B0004
com.adobe.dam.cq-dam-cfm-extensions               ContentFragmentManagement - Extensions                             0.0.2
com.adobe.aem.graphql.api                         GraphQL - API                                                      0.0.1.CQ650-B0004
com.adobe.aem.graphql.impl                        GraphQL - Impl                                                     0.0.1.CQ650-B0004
com.adobe.cq.dam.cq-dam-ui-models                 AEM - DAM Sling Model Bundle                                       1.0.12
com.adobe.cq.social.cq-social-console             AEM Communities Console - Bundle                                   1.6.46
com.adobe.cq.dam.cq-dynamicmedia-core             AEM Dynamic Media Integration                                      1.0.144
com.adobe.cq.dam.cq-dynamicmedia-api              AEM Dynamic Media Integration API                                  1.0.10
com.adobe.cq.ui.admin                             AEM UI WCM Admin Bundle                                            1.0.0.CQ650-B012
com.adobe.cq.com.adobe.cq.ui.commons              AEM UI WCM Commons Bundle                                          1.3.28
com.adobe.cq.wcm.com.adobe.cq.wcm.jobs.async      Adobe AEM - WCM Asynchronous Jobs support                          1.0.34
com.day.cq.cq-compat-configupdate                 Adobe AEM Configuration Updater                                    4.0.2
com.adobe.cq.dtm-reactor.core                     Adobe CQ Activation DTM Core Bundle                                1.1.20
com.adobe.cq.dam.cq-scene7-imaging                Adobe CQ DAM Scene7 Dynamic Imaging                                1.6.52.CQ650-B0046
com.adobe.cq.cq-experiencelog                     Adobe CQ Experience Log Client Bundle                              1.4.18
com.adobe.cq.remotedam.cq-remotedam-api           Adobe CQ Remote DAM API Bundle                                     0.8.12
com.adobe.cq.remotedam.cq-remotedam-commons       Adobe CQ Remote DAM Commons Bundle                                 0.0.12
com.adobe.cq.remotedam.cq-remotedam-server-core   Adobe CQ Remote DAM Server Core                                    1.1.40
com.adobe.cq.remotedam.cq-remotedam-client-core   Adobe CQ Remote Dam Client Core Bundle                             1.0.26
com.day.cq.cq-search                              Adobe CQ Search QueryBuilder                                       5.12.18
com.day.cq.wcm.cq-wcm-translation                 Adobe CQ Translation Workflow                                      1.5.86
com.adobe.cq.commerce.cq-commerce-pim             Adobe Communique 5 Commerce Product Information Manager            5.14.12
com.adobe.cq.wcm.cq-wcm-launches-core             Adobe Communique 5 WCM Launches Core                               5.13.32
com.day.cq.wcm.cq-command                         Adobe Experience Manager Command Implementation                    1.1.24
com.adobe.granite.auth.saml                       Adobe Granite - SAML 2.0 Authentication Handler                    1.0.24.CQ650-B0010
com.adobe.granite.crx-packagemgr                  Adobe Granite CRX Package Manager                                  1.2.80.CQ650-B0011
com.adobe.granite.contexthub.commons              Adobe Granite ContextHub Commons                                   0.2.7.CQ650-B0002
com.adobe.granite.references.core                 Adobe Granite References Core Bundle                               1.1.0.CQ659-B0004
