SYMBOLIC NAME                                 BUNDLE NAME                                         VERSION
com.h2database.mvstore                        H2 MVStore                                          2.0.206
com.adobe.cq.dam.cq-dam-ui-models             AEM - DAM Sling Model Bundle                        1.0.18
com.adobe.cq.cq-ref-update-processor-api      AEM - Reference Update Processor API bundle         1.1.2
com.adobe.cq.cq-ref-update-processor-impl     AEM - Reference Update Processor Impl bundle        1.0.14
com.adobe.cq.cq-searchpromote-integration     AEM 6 - Adobe Search&Promote Integration            5.12.12
com.adobe.cq.cq-target-integration            AEM 6 - Adobe Target integration                    1.3.52
com.adobe.cq.dam.cq-dynamicmedia-api          AEM Dynamic Media Integration API                   1.0.12
com.adobe.cq.wcm.com.adobe.aem.wcm.seo        Adobe AEM - SEO                                     1.0.10
com.adobe.cq.wcm.com.adobe.aem.wcm.seo.impl   Adobe AEM - SEO Implementation                      1.0.14
com.adobe.cq.dam.cq-scene7-imaging            Adobe CQ DAM Scene7 Dynamic Imaging                 1.6.60.CQ650-B0050
com.adobe.cq.cq-experiencelog                 Adobe CQ Experience Log Client Bundle               1.4.20
com.day.cq.cq-search-ext                      Adobe CQ Search Extension                           1.3.10
com.day.cq.wcm.cq-wcm-translation             Adobe CQ Translation Workflow                       1.5.124
com.day.cq.wcm.cq-wcm-foundation              Adobe CQ WCM Foundation Components                  5.12.54
com.adobe.granite.crx-packagemgr              Adobe Granite CRX Package Manager                   1.2.80.CQ650-B0020
com.day.cq.cq-replication                     Adobe Granite Replication                           6.2.86.CQ650-B0005
org.apache.httpcomponents.httpclient          Apache Apache HttpClient OSGi bundle                4.5.12
org.apache.felix.http.jetty                   Apache Felix Http Jetty                             4.1.12
org.apache.sling.discovery.commons            Apache Sling Discovery Commons                      1.0.26
org.apache.sling.installer.core               Apache Sling Installer (Adobe Vendor Branch)        3.9.0B002
org.apache.sling.jcr.repoinit                 Apache Sling Repoinit JCR                           1.1.36
org.apache.sling.repoinit.parser              Apache Sling Repoinit Parser                        1.6.10
org.apache.sling.sitemap                      Apache Sling Sitemap                                1.0.6
org.apache.sling.javax.activation             Apache Sling javax.activation bundle                0.3.0
com.adobe.cq.cq-product-info-provider         CQ ProductInfo Provider                             6.5.28
com.adobe.dam.cq-dam-cfm-impl                 ContentFragmentManagement - Implementation          0.11.98
com.day.cq.mcm.cq-mcm-campaign                Day Communique 5 Adobe Campaign Integration         1.3.24
com.day.cq.dam.cq-dam-api                     Day Communique 5 DAM API                            6.0.32
com.day.cq.dam.cq-dam-commons                 Day Communique 5 DAM Commons                        5.12.138
com.day.cq.dam.cq-dam-core                    Day Communique 5 DAM Core Implementation            5.12.338
com.day.cq.dam.cq-scene7-wsdl                 Day Communique 5 DAM Scene7 API Wrapper Bundle      1.3.8
com.day.cq.dam.cq-scene7-api                  Day Communique 5 DAM Scene7 Integration             5.12.56
com.day.cq.dam.cq-scene7-core                 Day Communique 5 DAM Scene7 Integration             5.12.228
com.day.cq.dam.cq-dam-video                   Day Communique 5 DAM Video Extensions               5.12.12
com.day.cq.cq-rewriter                        Day Communique 5 Rewriter                           5.12.22
com.day.cq.wcm.cq-wcm-api                     Day Communique 5 WCM API                            5.14.8
com.day.cq.wcm.cq-wcm-core                    Day Communique 5 WCM Core Implementation            5.12.204
com.day.cq.wcm.cq-wcm-workflow                Day Communique 5 WCM Workflow                       5.11.28
com.day.cq.dam.cq-dam-asset-sourcing          Day Communique 6 DAM Asset Sourcing Implementation  1.0.44
com.adobe.granite.translation.core            Granite Translation - Translation Core              1.1.60.CQ650-B0004
com.adobe.aem.graphql.impl                    GraphQL - Impl                                      0.0.1.CQ650-B0006
com.adobe.cq.gson                             Gson                                                2.8.9
org.apache.jackrabbit.oak-jackrabbit-api      Jackrabbit API                                      1.22.11
org.apache.jackrabbit.jackrabbit-data         Jackrabbit Data                                     2.20.4
org.apache.jackrabbit.jackrabbit-jcr-commons  Jackrabbit JCR Commons                              2.20.4
org.apache.jackrabbit.jackrabbit-spi          Jackrabbit SPI                                      2.20.4
org.apache.jackrabbit.jackrabbit-spi-commons  Jackrabbit SPI Commons                              2.20.4
org.apache.jackrabbit.jackrabbit-webdav       Jackrabbit WebDAV Library                           2.20.4
org.apache.jackrabbit.oak-api                 Oak API                                             1.22.11
org.apache.jackrabbit.oak-blob-cloud-azure    Oak Azure Cloud Blob Store                          1.22.11
org.apache.jackrabbit.oak-blob-plugins        Oak Blob Plugins                                    1.22.11
org.apache.jackrabbit.oak-blob                Oak Blob Store                                      1.22.11
org.apache.jackrabbit.oak-authorization-cug   Oak CUG Authorization                               1.22.11
org.apache.jackrabbit.oak-commons             Oak Commons                                         1.22.11
org.apache.jackrabbit.oak-store-composite     Oak Composite Store                                 1.22.11
org.apache.jackrabbit.oak-core                Oak Core                                            1.22.11
org.apache.jackrabbit.oak-core-spi            Oak Core SPI                                        1.22.11
org.apache.jackrabbit.oak-store-document      Oak DocumentNodeStore                               1.22.11
org.apache.jackrabbit.oak-auth-external       Oak External Authentication Support                 1.22.11
org.apache.jackrabbit.oak-jcr                 Oak JCR Binding                                     1.22.11
org.apache.jackrabbit.oak-auth-ldap           Oak LDAP Authentication Support                     1.22.11
org.apache.jackrabbit.oak-lucene              Oak Lucene                                          1.22.11
org.apache.jackrabbit.oak-store-spi           Oak NodeStore and Commit SPI                        1.22.11
org.apache.jackrabbit.oak-query-spi           Oak Query SPI                                       1.22.11
org.apache.jackrabbit.oak-security-spi        Oak Security SPI                                    1.22.11
org.apache.jackrabbit.oak-segment-azure       Oak Segment Azure                                   1.22.11
org.apache.jackrabbit.oak-segment-tar         Oak Segment Tar                                     1.22.11
org.apache.jackrabbit.oak-solr-osgi           Oak Solr OSGi                                       1.22.11
