SYMBOLIC NAME                                    BUNDLE NAME                                               VERSION
com.adobe.cq.cq-target-integration               AEM 6 - Adobe Target integration                          1.3.54
com.adobe.cq.dam.cq-dynamicmedia-core            AEM Dynamic Media Integration                             1.0.152
com.day.cq.cq-personalization                    AEM Personalization                                       5.12.48
com.adobe.cq.cq-deserialization-firewall         Adobe AEM Deserialization Firewall                        1.0.24.CQ650-B0001
com.adobe.cq.dam.cq-scene7-imaging               Adobe CQ DAM Scene7 Dynamic Imaging                       1.6.65.CQ650-B0056
com.adobe.cq.remotedam.cq-remotedam-client-core  Adobe CQ Remote Dam Client Core Bundle                    1.0.38
com.day.cq.wcm.cq-wcm-translation                Adobe CQ Translation Workflow                             1.5.126
com.day.cq.wcm.cq-wcm-foundation                 Adobe CQ WCM Foundation Components                        5.12.56
com.adobe.aem.graphql.sites-base                 Adobe Experience Manager GraphQL for Sites - Base Module  0.0.1.CQ650-B0010
AGL.min                                          Adobe GLobalization Library(Min)                          1.8.2
com.adobe.granite.crx-packagemgr                 Adobe Granite CRX Package Manager                         1.2.80.CQ650-B0040
com.adobe.granite.security.user                  Adobe Granite Security Module                             0.4.63.CQ650-B0001
com.adobe.granite.security.ui                    Adobe Granite Security UI Module                          1.0.58.CQ651-B0004
com.adobe.granite.workflow.core                  Adobe Granite Workflow Core                               2.0.240.CQ658-B0017
pdfcore                                          Adobe PDF Core                                            4.0.1652020076
pdfencryption                                    Adobe PDF Encryption                                      4.0.1652020076
PDFServices.extraction                           Adobe PDF Extraction services                             4.0.1652020076
PDFServices.manipulations                        Adobe PDF Manipulation services                           4.0.1652020076
PDFServices.security                             Adobe PDF Security services                               4.0.1652020076
org.apache.httpcomponents.httpclient             Apache Apache HttpClient OSGi bundle                      4.5.13.B0001
org.apache.sling.commons.metrics-rrd4j           Apache Sling Commons Metrics RRD4J                        1.0.6
org.apache.sling.engine                          Apache Sling Engine Implementation                        2.7.10.B0002
com.adobe.cq.cq-product-info-provider            CQ ProductInfo Provider                                   6.5.30
com.adobe.dam.cq-dam-cfm-impl                    ContentFragmentManagement - Implementation                0.11.102
com.day.cq.dam.cq-dam-similaritysearch           DAM Similarity Search Bundle                              5.12.24
com.day.cq.mcm.cq-mcm-campaign                   Day Communique 5 Adobe Campaign Integration               1.3.26
com.day.cq.dam.cq-dam-handler                    Day Communique 5 DAM Asset Handler Implementation         5.12.18
com.day.cq.dam.cq-dam-core                       Day Communique 5 DAM Core Implementation                  5.12.342
com.day.cq.dam.cq-scene7-core                    Day Communique 5 DAM Scene7 Integration                   5.12.238
com.day.cq.dam.cq-scene7-api                     Day Communique 5 DAM Scene7 Integration                   5.12.60
com.day.cq.dam.cq-dam-video                      Day Communique 5 DAM Video Extensions                     5.12.14
com.day.cq.cq-security                           Day Communique 5 Security                                 5.12.12.CQ650-B0005
com.day.cq.wcm.cq-wcm-core                       Day Communique 5 WCM Core Implementation                  5.12.206
org.apache.jackrabbit.oak-jackrabbit-api         Jackrabbit API                                            1.22.12
com.fasterxml.jackson.core.jackson-annotations   Jackson-annotations                                       2.13.0
com.fasterxml.jackson.core.jackson-core          Jackson-core                                              2.13.0
com.adobe.forms.common.adobe-xfaforms-common     Mobile Forms Common Bundle                                8.0.168
org.apache.jackrabbit.oak-api                    Oak API                                                   1.22.12
org.apache.jackrabbit.oak-blob-cloud-azure       Oak Azure Cloud Blob Store                                1.22.12
org.apache.jackrabbit.oak-blob-plugins           Oak Blob Plugins                                          1.22.12
org.apache.jackrabbit.oak-blob                   Oak Blob Store                                            1.22.12
org.apache.jackrabbit.oak-authorization-cug      Oak CUG Authorization                                     1.22.12
org.apache.jackrabbit.oak-commons                Oak Commons                                               1.22.12
org.apache.jackrabbit.oak-store-composite        Oak Composite Store                                       1.22.12
org.apache.jackrabbit.oak-core                   Oak Core                                                  1.22.12
org.apache.jackrabbit.oak-core-spi               Oak Core SPI                                              1.22.12
org.apache.jackrabbit.oak-store-document         Oak DocumentNodeStore                                     1.22.12
org.apache.jackrabbit.oak-auth-external          Oak External Authentication Support                       1.22.12
org.apache.jackrabbit.oak-jcr                    Oak JCR Binding                                           1.22.12
org.apache.jackrabbit.oak-auth-ldap              Oak LDAP Authentication Support                           1.22.12
org.apache.jackrabbit.oak-lucene                 Oak Lucene                                                1.22.12
org.apache.jackrabbit.oak-store-spi              Oak NodeStore and Commit SPI                              1.22.12
org.apache.jackrabbit.oak-query-spi              Oak Query SPI                                             1.22.12
org.apache.jackrabbit.oak-security-spi           Oak Security SPI                                          1.22.12
org.apache.jackrabbit.oak-segment-azure          Oak Segment Azure                                         1.22.12
org.apache.jackrabbit.oak-segment-tar            Oak Segment Tar                                           1.22.12
org.apache.jackrabbit.oak-solr-osgi              Oak Solr OSGi                                             1.22.12
com.fasterxml.jackson.core.jackson-databind      jackson-databind                                          2.13.0
