SYMBOLIC NAME                                           BUNDLE NAME                                             VERSION
graphiql.core                                           GraphiQL :: Core                                        0.0.25.CQ650-B0006
com.adobe.cq.dam.cq-dynamicmedia-core                   AEM Dynamic Media Integration                           1.0.160
com.adobe.cq.com.adobe.cq.ui.commons                    AEM UI WCM Commons Bundle                               1.3.32
com.adobe.cq.dtm-reactor.core                           Adobe CQ Activation DTM Core Bundle                     1.1.22
com.day.cq.wcm.cq-wcm-translation                       Adobe CQ Translation Workflow                           1.5.136
com.day.cq.wcm.cq-command                               Adobe Experience Manager Command Implementation         1.1.34
cq-dam-cfm-graphql                                      Adobe Experience Manager GraphQL for Content Fragments  0.0.1.CQ650-B0016
com.adobe.granite.asset.core                            Adobe Granite Asset API Implementation                  2.2.64.CQ650-B0002
com.adobe.granite.ui.clientlibs.processor.gcc           Adobe Granite UI Clientlibs - Google Closure Compiler   1.0.23.CQ650-B0001
org.apache.sling.api                                    Apache Sling API                                        2.22.0.B002
org.apache.sling.resourceresolver                       Apache Sling Resource Resolver                          1.7.10.B004
org.apache.sling.extensions.webconsolesecurityprovider  Apache Sling Web Console Security Provider              1.2.8
org.apache.tika.core                                    Apache Tika core                                        1.26.0
org.apache.tika.parsers                                 Apache Tika parsers                                     1.26.0
com.adobe.cq.cq-product-info-provider                   CQ ProductInfo Provider                                 6.5.34
com.adobe.dam.cq-dam-cfm-impl                           ContentFragmentManagement - Implementation              0.11.112
com.day.cq.mcm.cq-mcm-campaign                          Day Communique 5 Adobe Campaign Integration             1.3.28
com.day.cq.dam.cq-dam-commons                           Day Communique 5 DAM Commons                            5.12.152
com.day.cq.dam.cq-dam-core                              Day Communique 5 DAM Core Implementation                5.12.356
com.day.cq.dam.cq-scene7-wsdl                           Day Communique 5 DAM Scene7 API Wrapper Bundle          1.3.10
com.day.cq.dam.cq-scene7-core                           Day Communique 5 DAM Scene7 Integration                 5.12.248
com.day.cq.dam.cq-scene7-api                            Day Communique 5 DAM Scene7 Integration                 5.12.64
com.day.cq.cq-widgets-ext                               Day Communique 5 Ext Widgets                            5.12.4
com.day.cq.wcm.cq-wcm-core                              Day Communique 5 WCM Core Implementation                5.12.226
com.day.cq.wcm.cq-msm-core                              Day Communique 5 WCM Multi Site Management Core         5.12.84
com.adobe.granite.translation.connector.msft.core       Granite Translation - Microsoft Connector Core Bundle   1.3.28
com.h2database.mvstore                                  H2 MVStore                                              2.1.214
org.apache.jackrabbit.oak-jackrabbit-api                Jackrabbit API                                          1.22.14
org.apache.jackrabbit.jackrabbit-data                   Jackrabbit Data                                         2.20.8
org.apache.jackrabbit.jackrabbit-jcr-commons            Jackrabbit JCR Commons                                  2.20.8
org.apache.jackrabbit.jackrabbit-spi                    Jackrabbit SPI                                          2.20.8
org.apache.jackrabbit.jackrabbit-spi-commons            Jackrabbit SPI Commons                                  2.20.8
org.apache.jackrabbit.jackrabbit-webdav                 Jackrabbit WebDAV Library                               2.20.8
com.fasterxml.jackson.core.jackson-annotations          Jackson-annotations                                     2.13.4
com.fasterxml.jackson.core.jackson-core                 Jackson-core                                            2.13.4
org.apache.jackrabbit.oak-api                           Oak API                                                 1.22.14
org.apache.jackrabbit.oak-blob-cloud-azure              Oak Azure Cloud Blob Store                              1.22.14
org.apache.jackrabbit.oak-blob-plugins                  Oak Blob Plugins                                        1.22.14
org.apache.jackrabbit.oak-blob                          Oak Blob Store                                          1.22.14
org.apache.jackrabbit.oak-authorization-cug             Oak CUG Authorization                                   1.22.14
org.apache.jackrabbit.oak-commons                       Oak Commons                                             1.22.14
org.apache.jackrabbit.oak-store-composite               Oak Composite Store                                     1.22.14
org.apache.jackrabbit.oak-core                          Oak Core                                                1.22.14
org.apache.jackrabbit.oak-core-spi                      Oak Core SPI                                            1.22.14
org.apache.jackrabbit.oak-store-document                Oak DocumentNodeStore                                   1.22.14
org.apache.jackrabbit.oak-auth-external                 Oak External Authentication Support                     1.22.14
org.apache.jackrabbit.oak-jcr                           Oak JCR Binding                                         1.22.14
org.apache.jackrabbit.oak-auth-ldap                     Oak LDAP Authentication Support                         1.22.14
org.apache.jackrabbit.oak-lucene                        Oak Lucene                                              1.22.14
org.apache.jackrabbit.oak-store-spi                     Oak NodeStore and Commit SPI                            1.22.14
org.apache.jackrabbit.oak-query-spi                     Oak Query SPI                                           1.22.14
org.apache.jackrabbit.oak-security-spi                  Oak Security SPI                                        1.22.14
org.apache.jackrabbit.oak-segment-azure                 Oak Segment Azure                                       1.22.14
org.apache.jackrabbit.oak-segment-tar                   Oak Segment Tar                                         1.22.14
org.apache.jackrabbit.oak-solr-osgi                     Oak Solr OSGi                                           1.22.14
com.fasterxml.jackson.core.jackson-databind             jackson-databind                                        2.13.4
