SYMBOLIC NAME                                     BUNDLE NAME                                               VERSION
org.apache.commons.io                             Apache Commons IO                                         2.11.0
org.apache.logging.log4j.api                      Apache Log4j API                                          2.20.0
org.apache.logging.log4j.to-slf4j                 Apache Log4j to SLF4J Adapter                             2.20.0
com.adobe.cq.cq-experience-fragments              AEM - Experience Fragments                                1.2.86
com.adobe.cq.inbox.cq-inbox                       AEM - Inbox Core                                          1.2.28
com.adobe.cq.cq-target-integration                AEM 6 - Adobe Target integration                          1.3.56
com.adobe.cq.social.cq-social-commons             AEM Communities Commons - Bundle                          1.10.87
com.adobe.cq.social.cq-social-handlebars          AEM Communities Handlebars Scripting Engine - Bundle      1.10.21
com.adobe.cq.social.cq-social-scf-impl            AEM Communities SCF - Impl Bundle                         2.2.12
com.adobe.cq.social.cq-social-graph-impl          AEM Communities SocialGraph Impl - Bundle                 1.4.4
com.adobe.cq.dam.cq-dynamicmedia-core             AEM Dynamic Media Integration                             1.0.164
com.adobe.cq.com.adobe.cq.ui.commons              AEM UI WCM Commons Bundle                                 1.3.34
com.adobe.cq.dtm-reactor.core                     Adobe CQ Activation DTM Core Bundle                       1.1.24
com.adobe.cq.dam.cq-dam-svg-handler               Adobe CQ Creative Cloud APIs - DAM SVG Asset Handler      0.4.14
com.adobe.cq.dam.cq-scene7-imaging                Adobe CQ DAM Scene7 Dynamic Imaging                       1.6.66.CQ650-B0060
com.day.cq.cq-search                              Adobe CQ Search QueryBuilder                              5.12.24
com.day.cq.wcm.cq-wcm-translation                 Adobe CQ Translation Workflow                             1.5.138
com.day.cq.wcm.cq-wcm-foundation                  Adobe CQ WCM Foundation Components                        5.12.64
com.day.cq.dam.adobe-dam-idsprint                 Adobe DAM InDesign Print                                  0.4.10
com.adobe.aem.com.adobe.aem.graphql-java-wrapper  Adobe Experience Manager GraphQL Java Wrapper             0.0.1.CQ650-B0006
com.adobe.aem.graphql.sling-adapter               Adobe Experience Manager GraphQL Sling Adapter            0.0.1.CQ650-B0006
cq-dam-cfm-graphql                                Adobe Experience Manager GraphQL for Content Fragments    0.0.1.CQ650-B0026
com.adobe.aem.graphql.sites-api                   Adobe Experience Manager GraphQL for Sites - API          0.0.1.CQ650-B0006
com.adobe.aem.graphql.sites-base                  Adobe Experience Manager GraphQL for Sites - Base Module  0.0.1.CQ650-B0014
com.adobe.granite.asset.api                       Adobe Granite Asset API                                   2.0.12
com.adobe.granite.asset.core                      Adobe Granite Asset API Implementation                    2.2.64.CQ650-B0003
com.adobe.granite.ui.clientlibs.processor.gcc     Adobe Granite UI Clientlibs - Google Closure Compiler     1.0.24
com.adobe.granite.workflow.console                Adobe Granite Workflow Console                            1.0.118.CQ652-B0005
com.adobe.granite.workflow.core                   Adobe Granite Workflow Core                               2.0.240.CQ672-B0017
