SYMBOLIC NAME                                          BUNDLE NAME                                           VERSION
org.apache.commons.commons-text                        Apache Commons Text                                   1.10.0
io.jsonwebtoken.jjwt-api                               JJWT :: API                                           0.11.2
io.jsonwebtoken.jjwt-jackson                           JJWT :: Extensions :: Jackson                         0.11.2
io.jsonwebtoken.jjwt-impl                              JJWT :: Impl                                          0.11.2
com.adobe.cq.cq-experience-fragments                   AEM - Experience Fragments                            1.2.88
com.adobe.cq.dam.cq-dynamicmedia-core                  AEM Dynamic Media Integration                         1.0.168
com.adobe.cq.com.adobe.cq.ui.commons                   AEM UI WCM Commons Bundle                             1.3.40
com.adobe.cq.dam.cq-scene7-imaging                     Adobe CQ DAM Scene7 Dynamic Imaging                   1.6.66.CQ650-B0068
com.adobe.cq.remotedam.cq-remotedam-client-core        Adobe CQ Remote Dam Client Core Bundle                1.0.42
com.day.cq.wcm.cq-wcm-translation                      Adobe CQ Translation Workflow                         1.5.142
com.day.cq.cq-authhandler                              Adobe Granite Authentication Handler                  5.6.92.CQ650-B0006
com.adobe.granite.conf.ui.core                         Adobe Granite Configuration Manager UI Core Module    0.0.38
com.adobe.granite.contexthub.commons                   Adobe Granite ContextHub Commons                      0.2.7.CQ651-B0004
com.adobe.granite.auth.ims                             Adobe Granite IMSAuthentication Handler               1.4.38
com.adobe.granite.auth.oauth                           Adobe Granite OAuth Authentication Handler            1.10.8
com.day.cq.cq-replication                              Adobe Granite Replication                             6.2.86.CQ650-B0007
com.adobe.granite.ui.commons                           Adobe Granite UI Commons                              5.10.15.CQ650-B0014
com.adobe.granite.workflow.core                        Adobe Granite Workflow Core                           2.0.240.CQ674-B0017
com.adobe.cq.screens.com.adobe.cq.screens.mq.activemq  Adobe Screens Apache ActiveMQ Implementation          1.2.4
org.apache.felix.scr                                   Apache Felix Declarative Services                     2.1.30
org.apache.felix.http.jetty                            Apache Felix Http Jetty                               4.2.12
org.apache.sling.distribution.core                     Apache Sling Distribution Core (Adobe Vendor Branch)  0.4.0.B008
org.apache.sling.i18n                                  Apache Sling I18N Support                             2.6.2
org.apache.sling.resourceresolver                      Apache Sling Resource Resolver                        1.7.10.B006
org.apache.sling.rewriter                              Apache Sling Rewriter                                 1.3.6
com.adobe.cq.cq-product-info-provider                  CQ ProductInfo Provider                               6.5.38
com.adobe.cq.com.adobe.cq.projects.core                CQ Projects - Core Bundle                             0.5.30
com.adobe.dam.cq-dam-cfm-impl                          ContentFragmentManagement - Implementation            0.11.126
com.day.cq.dam.cq-dam-similaritysearch                 DAM Similarity Search Bundle                          5.12.26
com.day.commons.osgi.wrapper.commons-httpclient        Day Commons Library - HTTP Client 3.1 Bundling        3.1.0.30
com.day.cq.mcm.cq-mcm-campaign                         Day Communique 5 Adobe Campaign Integration           1.3.30
com.day.cq.dam.cq-dam-commons                          Day Communique 5 DAM Commons                          5.12.166
com.day.cq.dam.cq-dam-core                             Day Communique 5 DAM Core Implementation              5.12.368
com.day.cq.dam.cq-dam-pim                              Day Communique 5 DAM PIM Integration Implementation   0.5.12
com.day.cq.dam.cq-scene7-wsdl                          Day Communique 5 DAM Scene7 API Wrapper Bundle        1.3.12
com.day.cq.dam.cq-scene7-core                          Day Communique 5 DAM Scene7 Integration               5.12.256
com.day.cq.dam.cq-scene7-api                           Day Communique 5 DAM Scene7 Integration               5.12.68
com.day.cq.wcm.cq-wcm-core                             Day Communique 5 WCM Core Implementation              5.12.234
com.day.cq.wcm.cq-msm-core                             Day Communique 5 WCM Multi Site Management Core       5.12.100
com.day.cq.workflow.cq-workflow-impl                   Day Communique 5 Workflow Implementation              6.3.8.CQ656-B0003
org.apache.jackrabbit.oak-jackrabbit-api               Jackrabbit API                                        1.22.16
org.apache.jackrabbit.jackrabbit-data                  Jackrabbit Data                                       2.20.10
org.apache.jackrabbit.jackrabbit-jcr-commons           Jackrabbit JCR Commons                                2.20.10
org.apache.jackrabbit.jackrabbit-spi                   Jackrabbit SPI                                        2.20.10
org.apache.jackrabbit.jackrabbit-spi-commons           Jackrabbit SPI Commons                                2.20.10
org.apache.jackrabbit.jackrabbit-webdav                Jackrabbit WebDAV Library                             2.20.10
com.fasterxml.jackson.core.jackson-annotations         Jackson-annotations                                   2.13.5
com.fasterxml.jackson.core.jackson-core                Jackson-core                                          2.13.5
org.apache.jackrabbit.oak-api                          Oak API                                               1.22.16
org.apache.jackrabbit.oak-blob-cloud-azure             Oak Azure Cloud Blob Store                            1.22.16
org.apache.jackrabbit.oak-blob-plugins                 Oak Blob Plugins                                      1.22.16
org.apache.jackrabbit.oak-blob                         Oak Blob Store                                        1.22.16
org.apache.jackrabbit.oak-authorization-cug            Oak CUG Authorization                                 1.22.16
org.apache.jackrabbit.oak-commons                      Oak Commons                                           1.22.16
org.apache.jackrabbit.oak-store-composite              Oak Composite Store                                   1.22.16
org.apache.jackrabbit.oak-core                         Oak Core                                              1.22.16
org.apache.jackrabbit.oak-core-spi                     Oak Core SPI                                          1.22.16
org.apache.jackrabbit.oak-store-document               Oak DocumentNodeStore                                 1.22.16
org.apache.jackrabbit.oak-auth-external                Oak External Authentication Support                   1.22.16
org.apache.jackrabbit.oak-jcr                          Oak JCR Binding                                       1.22.16
org.apache.jackrabbit.oak-auth-ldap                    Oak LDAP Authentication Support                       1.22.16
org.apache.jackrabbit.oak-lucene                       Oak Lucene                                            1.22.16
org.apache.jackrabbit.oak-store-spi                    Oak NodeStore and Commit SPI                          1.22.16
org.apache.jackrabbit.oak-query-spi                    Oak Query SPI                                         1.22.16
org.apache.jackrabbit.oak-security-spi                 Oak Security SPI                                      1.22.16
org.apache.jackrabbit.oak-segment-azure                Oak Segment Azure                                     1.22.16
org.apache.jackrabbit.oak-segment-tar                  Oak Segment Tar                                       1.22.16
org.apache.jackrabbit.oak-solr-osgi                    Oak Solr OSGi                                         1.22.16
com.fasterxml.jackson.core.jackson-databind            jackson-databind                                      2.13.5
