SYMBOLIC NAME                                               BUNDLE NAME                                               VERSION
com.adobe.aem.com.adobe.aem.wcm.hierarchical-object         AEM WCM Utility to manage hierarchies                     0.9.2
com.adobe.cq.cq-experience-fragments                        AEM - Experience Fragments                                1.2.98
com.adobe.cq.social.cq-social-ideation-impl                 AEM Communities Ideation - Bundle                         1.2.13
com.adobe.cq.social.cq-social-ideation-api                  AEM Communities Ideation API - Bundle                     1.2.11
com.adobe.cq.social.cq-social-journal                       AEM Communities Journal - Bundle                          1.6.16
com.adobe.cq.social.cq-social-srp-impl                      AEM Communities SRP - Impl Bundle                         1.4.17
com.adobe.cq.social.cq-social-srp-api                       AEM Communities SRP Base - API Bundle                     1.4.13
com.adobe.cq.social.cq-social-moderation-spamdetector-core  AEM Communities Spam Detection Core - Bundle              3.3.2
com.adobe.cq.social.cq-social-sync                          AEM Communities Sync - Bundle                             1.3.12
com.adobe.cq.com.adobe.cq.msm.ui                            AEM MSM - UI Utilities                                    0.2.20
com.adobe.cq.ui.admin                                       AEM UI WCM Admin Bundle                                   1.0.0.CQ650-B016
com.adobe.cq.dam.cq-dam-svg-handler                         Adobe CQ Creative Cloud APIs - DAM SVG Asset Handler      0.4.16
com.adobe.cq.dam.cq-scene7-imaging                          Adobe CQ DAM Scene7 Dynamic Imaging                       1.6.66.CQ650-B0078
com.adobe.cq.export.json.impl                               Adobe CQ JSON Exporter Implementation                     0.2.10
com.adobe.cq.remotedam.cq-remotedam-commons                 Adobe CQ Remote DAM Commons Bundle                        0.0.16
com.adobe.cq.remotedam.cq-remotedam-client-core             Adobe CQ Remote Dam Client Core Bundle                    1.0.48
com.day.cq.wcm.cq-wcm-translation                           Adobe CQ Translation Workflow                             1.5.158
com.day.cq.wcm.cq-wcm-foundation                            Adobe CQ WCM Foundation Components                        5.12.68
com.adobe.cq.wcm.cq-wcm-launches-core                       Adobe Communique 5 WCM Launches Core                      5.13.52
com.adobe.aem.graphql.sites-base                            Adobe Experience Manager GraphQL for Sites - Base Module  0.0.1.CQ650-B0016
com.adobe.granite.auth.saml                                 Adobe Granite - SAML 2.0 Authentication Handler           1.0.56.CQ-650-B0001
com.adobe.granite.rest.assets                               Adobe Granite RESTful API Assets                          1.0.58.CQ650-B0002
com.adobe.granite.rest.api                                  Adobe Granite RESTful API Core                            1.1.16.CQ650-B0007
com.adobe.granite.security.ui                               Adobe Granite Security UI Module                          1.0.58.CQ651-B0006
com.adobe.granite.ui.commons                                Adobe Granite UI Commons                                  5.10.15.CQ650-B0018
pdfcore                                                     Adobe PDF Core                                            4.0.1704453728
pdfencryption                                               Adobe PDF Encryption                                      4.0.1704453728
PDFServices.extraction                                      Adobe PDF Extraction services                             4.0.1704453728
PDFServices.manipulations                                   Adobe PDF Manipulation services                           4.0.1704453728
PDFServices.security                                        Adobe PDF Security services                               4.0.1704453728
org.apache.commons.commons-compress                         Apache Commons Compress                                   1.24.0
org.apache.felix.http.jetty                                 Apache Felix Http Jetty                                   4.2.20
org.apache.sling.resourcemerger                             Apache Sling Resource Merger                              1.4.4
com.adobe.cq.cq-product-info-provider                       CQ ProductInfo Provider                                   6.5.44
com.adobe.dam.cq-dam-cfm-haf                                ContentFragmentManagement - HTTP API                      1.0.14
com.adobe.dam.cq-dam-cfm-impl                               ContentFragmentManagement - Implementation                0.11.142
com.day.cq.mcm.cq-mcm-campaign                              Day Communique 5 Adobe Campaign Integration               1.3.34
com.day.cq.dam.cq-dam-commons                               Day Communique 5 DAM Commons                              5.12.174
com.day.cq.dam.cq-dam-core                                  Day Communique 5 DAM Core Implementation                  5.12.382
com.day.cq.dam.cq-scene7-api                                Day Communique 5 DAM Scene7 Integration                   5.12.70
com.day.cq.dam.cq-scene7-core                               Day Communique 5 DAM Scene7 Integration                   5.12.268
com.day.cq.wcm.cq-wcm-core                                  Day Communique 5 WCM Core Implementation                  5.12.252
com.day.cq.wcm.cq-msm-api                                   Day Communique 5 WCM Multi Site Management API            5.11.14
com.day.cq.wcm.cq-msm-core                                  Day Communique 5 WCM Multi Site Management Core           5.12.120
org.apache.jackrabbit.oak-jackrabbit-api                    Jackrabbit API                                            1.22.18
org.apache.jackrabbit.oak-api                               Oak API                                                   1.22.18
org.apache.jackrabbit.oak-blob-cloud-azure                  Oak Azure Cloud Blob Store                                1.22.18
org.apache.jackrabbit.oak-blob-plugins                      Oak Blob Plugins                                          1.22.18
org.apache.jackrabbit.oak-blob                              Oak Blob Store                                            1.22.18
org.apache.jackrabbit.oak-authorization-cug                 Oak CUG Authorization                                     1.22.18
org.apache.jackrabbit.oak-commons                           Oak Commons                                               1.22.18
org.apache.jackrabbit.oak-store-composite                   Oak Composite Store                                       1.22.18
org.apache.jackrabbit.oak-core                              Oak Core                                                  1.22.18
org.apache.jackrabbit.oak-core-spi                          Oak Core SPI                                              1.22.18
org.apache.jackrabbit.oak-store-document                    Oak DocumentNodeStore                                     1.22.18
org.apache.jackrabbit.oak-auth-external                     Oak External Authentication Support                       1.22.18
org.apache.jackrabbit.oak-jcr                               Oak JCR Binding                                           1.22.18
org.apache.jackrabbit.oak-auth-ldap                         Oak LDAP Authentication Support                           1.22.18
org.apache.jackrabbit.oak-lucene                            Oak Lucene                                                1.22.18
org.apache.jackrabbit.oak-store-spi                         Oak NodeStore and Commit SPI                              1.22.18
org.apache.jackrabbit.oak-query-spi                         Oak Query SPI                                             1.22.18
org.apache.jackrabbit.oak-security-spi                      Oak Security SPI                                          1.22.18
org.apache.jackrabbit.oak-segment-azure                     Oak Segment Azure                                         1.22.18
org.apache.jackrabbit.oak-segment-tar                       Oak Segment Tar                                           1.22.18
org.apache.jackrabbit.oak-solr-osgi                         Oak Solr OSGi                                             1.22.18
com.adobe.granite.repository                                Oak content repository                                    1.6.28.CQ650-B0008
