SYMBOLIC NAME                                       BUNDLE NAME                                                  VERSION
com.adobe.granite.webvitals65                       Adobe AEM Script Injector                                    1.2.2
sling-api-compat                                    Apache Sling API Compatibility Bundle                        1.0.6
org.apache.sling.scripting.spi                      Apache Sling Scripting SPI                                   1.0.4
com.cedarsoftware.json-io                           json-io                                                      4.14.1
org.glassfish.jakarta.json                          JSON-P Default Provider                                      2.0.1
org.osgi.util.converter                             org.osgi:org.osgi.util.converter                             1.0.9.202202082230
com.adobe.cq.cq-experience-fragments                AEM - Experience Fragments                                   1.2.102
com.adobe.cq.cq-ref-update-processor-impl           AEM - Reference Update Processor Impl bundle                 1.0.16
com.adobe.cq.cq-target-integration                  AEM 6 - Adobe Target integration                             1.3.64
com.adobe.cq.cq-cloudservices-provisioning          AEM Cloud Services - Provisioning Bundle                     1.2.6
com.adobe.cq.social.cq-social-ideation-impl         AEM Communities Ideation - Bundle                            1.2.14
com.adobe.cq.social.cq-social-ideation-api          AEM Communities Ideation API - Bundle                        1.2.12
com.adobe.cq.social.cq-social-journal               AEM Communities Journal - Bundle                             1.6.17
com.day.cq.cq-personalization                       AEM Personalization                                          5.12.50
com.adobe.cq.com.adobe.cq.ui.commons                AEM UI WCM Commons Bundle                                    1.3.54
com.adobe.cq.cq-dtm                                 Adobe CQ - DTM Integration Bundle                            0.5.12
com.adobe.cq.dtm-reactor.core                       Adobe CQ Activation DTM Core Bundle                          1.1.26
com.adobe.cq.cq-dam-mac-sync                        Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle  1.5.16.B024
com.adobe.cq.dam.cq-scene7-imaging                  Adobe CQ DAM Scene7 Dynamic Imaging                          1.6.66.CQ650-B0080
com.day.cq.wcm.cq-wcm-translation                   Adobe CQ Translation Workflow                                1.5.160
com.day.cq.wcm.cq-wcm-foundation                    Adobe CQ WCM Foundation Components                           5.12.70
com.adobe.cq.wcm.cq-wcm-launches-core               Adobe Communique 5 WCM Launches Core                         5.13.56
com.adobe.aem.com.adobe.aem.graphql-java-wrapper    Adobe Experience Manager GraphQL Java Wrapper                0.0.1.CQ650-B0008
com.adobe.aem.graphql.sling-adapter                 Adobe Experience Manager GraphQL Sling Adapter               0.0.1.CQ650-B0008
cq-dam-cfm-graphql                                  Adobe Experience Manager GraphQL for Content Fragments       0.0.1.CQ650-B0036
com.adobe.aem.graphql.sites-api                     Adobe Experience Manager GraphQL for Sites - API             0.0.1.CQ650-B0008
com.adobe.aem.graphql.sites-base                    Adobe Experience Manager GraphQL for Sites - Base Module     0.0.1.CQ650-B0020
com.adobe.granite.jobs.async.ui.commons             Adobe Granite Async Jobs                                     2.1.0
com.adobe.granite.auth.ims                          Adobe Granite IMSAuthentication Handler                      1.4.48
com.adobe.granite.auth.oauth                        Adobe Granite OAuth Authentication Handler                   1.10.32.B0002
com.adobe.granite.operations.ui.core                Adobe Granite Operations Dashboard UI Core Package           0.0.68
com.adobe.granite.rest.assets                       Adobe Granite RESTful API Assets                             1.0.58.CQ650-B0003
com.adobe.granite.rest.api                          Adobe Granite RESTful API Core                               1.1.16.CQ650-B0008
com.adobe.granite.security.permissions              Adobe Granite Security Permissions Module                    0.0.18.CQ650-B002
com.adobe.granite.workflow.core                     Adobe Granite Workflow Core                                  2.0.240.CQ680-B0017
json                                                Adobe Granite org.json-20230618 Wrapper                      20231013.0.0.2
com.adobe.cq.adobeims.core                          Adobe IMS Core Bundle                                        1.1.26
org.apache.commons.commons-compress                 Apache Commons Compress                                      1.26.1
org.apache.commons.commons-io                       Apache Commons IO                                            2.15.1
org.apache.commons.lang3                            Apache Commons Lang                                          3.14.0
org.apache.felix.http.jetty                         Apache Felix Http Jetty                                      4.2.26
org.apache.felix.webconsole                         Apache Felix Web Management Console                          4.9.8
org.apache.sling.api                                Apache Sling API                                             2.27.2
org.apache.sling.engine                             Apache Sling Engine Implementation (Adobe vendor branch)     2.15.10
org.apache.sling.resourceaccesssecurity             Apache Sling Resource Access Security                        1.1.0
org.apache.sling.resourceresolver                   Apache Sling Resource Resolver                               1.10.0
org.apache.sling.scripting.core                     Apache Sling Scripting Core                                  2.4.8
org.apache.sling.scripting.sightly.compiler         Apache Sling Scripting HTL Compiler                          1.2.14.140
org.apache.sling.scripting.sightly                  Apache Sling Scripting HTL Engine                            1.4.22.140
org.apache.sling.scripting.sightly.compiler.java    Apache Sling Scripting HTL Java Compiler                     1.2.2.140
org.apache.sling.scripting.sightly.js.provider      Apache Sling Scripting HTL JavaScript Use Provider           1.2.8
org.apache.sling.scripting.sightly.runtime          Apache Sling Scripting HTL Runtime                           1.2.6.140
org.apache.sling.scripting.jsp                      Apache Sling Scripting JSP Support                           2.6.0
org.apache.sling.scripting.java                     Apache Sling Scripting Java Support                          2.1.6
org.apache.sling.scripting.javascript               Apache Sling Scripting JavaScript Support                    3.1.4
org.apache.sling.servlets.resolver                  Apache Sling Servlets Resolver                               2.11.2
com.adobe.cq.cq-product-info-provider               CQ ProductInfo Provider                                      6.5.48
com.adobe.dam.cq-dam-cfm-impl                       ContentFragmentManagement - Implementation                   0.11.144
com.day.cq.dam.cq-dam-commons                       Day Communique 5 DAM Commons                                 5.12.178
com.day.cq.dam.cq-dam-core                          Day Communique 5 DAM Core Implementation                     5.12.392
com.day.cq.dam.cq-scene7-core                       Day Communique 5 DAM Scene7 Integration                      5.12.270
com.day.cq.cq-mailer                                Day Communique 5 Mailer                                      5.14.3.B0008
com.day.cq.wcm.cq-wcm-api                           Day Communique 5 WCM API                                     5.14.18
com.day.cq.wcm.cq-wcm-core                          Day Communique 5 WCM Core Implementation                     5.12.260
com.day.cq.wcm.cq-msm-core                          Day Communique 5 WCM Multi Site Management Core              5.12.122
com.adobe.aem.graphql.api                           GraphQL - API                                                0.0.1.CQ650-B0006
com.adobe.aem.graphql.impl                          GraphQL - Impl                                               0.0.1.CQ650-B0010
org.apache.jackrabbit.oak-jackrabbit-api            Jackrabbit API                                               1.22.20
org.apache.jackrabbit.jackrabbit-data               Jackrabbit Data                                              2.20.15
org.apache.jackrabbit.jackrabbit-jcr-commons        Jackrabbit JCR Commons                                       2.20.15
org.apache.jackrabbit.jackrabbit-spi                Jackrabbit SPI                                               2.20.15
org.apache.jackrabbit.jackrabbit-spi-commons        Jackrabbit SPI Commons                                       2.20.15
org.apache.jackrabbit.jackrabbit-webdav             Jackrabbit WebDAV Library                                    2.20.15
com.fasterxml.jackson.core.jackson-annotations      Jackson-annotations                                          2.16.2
com.fasterxml.jackson.core.jackson-core             Jackson-core                                                 2.16.2
com.adobe.granite.poi                               OSGi bundle wrapper for the Apache POI library               2.1.2
org.apache.jackrabbit.oak-api                       Oak API                                                      1.22.20
org.apache.jackrabbit.oak-blob-cloud-azure          Oak Azure Cloud Blob Store                                   1.22.20
org.apache.jackrabbit.oak-blob-plugins              Oak Blob Plugins                                             1.22.20
org.apache.jackrabbit.oak-blob                      Oak Blob Store                                               1.22.20
org.apache.jackrabbit.oak-authorization-cug         Oak CUG Authorization                                        1.22.20
org.apache.jackrabbit.oak-commons                   Oak Commons                                                  1.22.20
org.apache.jackrabbit.oak-store-composite           Oak Composite Store                                          1.22.20
org.apache.jackrabbit.oak-core                      Oak Core                                                     1.22.20
org.apache.jackrabbit.oak-core-spi                  Oak Core SPI                                                 1.22.20
org.apache.jackrabbit.oak-store-document            Oak DocumentNodeStore                                        1.22.20
org.apache.jackrabbit.oak-auth-external             Oak External Authentication Support                          1.22.20
org.apache.jackrabbit.oak-jcr                       Oak JCR Binding                                              1.22.20
org.apache.jackrabbit.oak-auth-ldap                 Oak LDAP Authentication Support                              1.22.20
org.apache.jackrabbit.oak-lucene                    Oak Lucene                                                   1.22.20
org.apache.jackrabbit.oak-store-spi                 Oak NodeStore and Commit SPI                                 1.22.20
org.apache.jackrabbit.oak-query-spi                 Oak Query SPI                                                1.22.20
org.apache.jackrabbit.oak-security-spi              Oak Security SPI                                             1.22.20
org.apache.jackrabbit.oak-segment-azure             Oak Segment Azure                                            1.22.20
org.apache.jackrabbit.oak-segment-tar               Oak Segment Tar                                              1.22.20
org.apache.jackrabbit.oak-solr-osgi                 Oak Solr OSGi                                                1.22.20
com.fasterxml.jackson.core.jackson-databind         jackson-databind                                             2.16.2
