org.apache.felix.framework, 6.0.2, System Bundle
org.apache.servicemix.specs.saaj-api-1.3, 2.8.0, Apache ServiceMix :: Specs :: SAAJ API 1.3
org.apache.geronimo.specs.geronimo-ws-metadata_2.0_spec, 1.1.3, Web Services Metadata 2.0
org.apache.sling.settings, 1.3.10, Apache Sling Settings
org.apache.sling.installer.core, 3.9.0.B002, Apache Sling Installer (Adobe Vendor Branch)
org.apache.sling.commons.log, 5.1.10, Apache Sling Commons Log
org.apache.sling.commons.logservice, 1.0.6, Apache Sling OSGi LogService Implementation
org.apache.felix.configadmin, 1.9.12, Apache Felix Configuration Admin Service
jcl.over.slf4j, 1.7.25, jcl-over-slf4j
com.adobe.granite.crypto, 3.4.22, Adobe Granite Crypto Support
org.apache.servicemix.bundles.saaj-impl, 1.3.23.2, Apache ServiceMix :: Bundles :: saaj-impl
org.apache.felix.coordinator, 1.0.2, Apache Felix Coordinator Service
org.apache.geronimo.specs.geronimo-annotation_1.3_spec, 1.0.0, Apache Geronimo Annotation Spec 1.3
log4j.over.slf4j, 1.7.25, log4j-over-slf4j
org.jvnet.staxex.stax-ex, 1.7.6, Extended StAX API
slf4j.api, 1.7.25, slf4j-api
org.apache.sling.launchpad.installer, 1.2.2, Apache Sling Launchpad Installer
org.apache.sling.javax.activation, 0.3.0, Apache Sling javax.activation bundle
org.apache.aries.util, 1.1.1, Apache Aries Util
org.apache.servicemix.specs.jaxws-api-2.2, 2.9.0, Apache ServiceMix :: Specs :: JAXWS API 2.2
org.apache.sling.installer.factory.configuration, 1.3.4, Apache Sling Installer Configuration Factory
org.apache.sling.installer.provider.file, 1.1.0, Apache Sling File Installer
com.adobe.granite.crypto.file, 0.0.16, Adobe Granite Crypto Bundle Key Provider
com.adobe.granite.crypto.config, 0.0.4, Adobe Granite Crypto Configuraton
org.osgi.util.function, 1.1.0.201802012106, org.osgi:org.osgi.util.function
org.osgi.util.promise, 1.1.0.201802012106, org.osgi:org.osgi.util.promise
com.adobe.granite.apicontroller, 1.0.4, Adobe Granite API Controller
com.day.cq.cq-compat-configupdate, 4.0.2, Adobe AEM Configuration Updater
org.apache.aries.jmx.api, 1.1.5, Apache Aries JMX API
org.apache.aries.jmx.core, 1.1.5, Apache Aries JMX Core
org.apache.aries.jmx.whiteboard, 1.2.0, Apache Aries Whiteboard support for JMX DynamicMBean services
org.apache.aries.transaction.manager, 1.2.0, Apache Aries Transaction Manager
org.apache.sling.discovery.api, 1.0.4, Apache Sling Discovery API
org.apache.sling.provisioning.model, 1.8.4, Apache Sling Provisioning Model
com.adobe.granite.startup, 0.6.6, Adobe Granite Startup Module
com.adobe.cq.cq-deserialization-firewall, 1.0.24.CQ650-B0001, Adobe AEM Deserialization Firewall
org.apache.felix.eventadmin, 1.5.0, Apache Felix EventAdmin
org.apache.felix.metatype, 1.2.2, Apache Felix Metatype Service
org.apache.felix.scr, 2.1.30, Apache Felix Declarative Services
org.apache.sling.commons.osgi, 2.4.0, Apache Sling Commons OSGi support
org.apache.sling.hc.api, 1.0.2, Apache Sling Health Check API
com.adobe.granite.joda-time, 2.9.1, Joda-Time
org.apache.commons.lang3, 3.14.0, Apache Commons Lang
