SUBPACKAGE                                          VERSION                                   VERSIONS ON INSTANCE                                                                                                                                                                                      STATUS                 CFP version is last Updated
----------                                          -------                                   --------------------                                                                                                                                                                                      ------                 ---------------------------
adobe-aemds-formsanddocuments-core-pkg              8.0.70-NPR-38582-B0001                    8.0.70, 8.0.70-NPR-38582-B0001,                                                                                                                                                                           Updated                True                
adobeims.content                                    1.1.8                                     1.0.18, 1.1.8,                                                                                                                                                                                            Updated                True                
aem-bundle-remover-content                          2.0.22                                                                                                                                                                                                                                              Updated                New                 
aemfd-expeditor-rulebuilder-pkg                     5.0.76                                    5.0.42, 5.0.76,                                                                                                                                                                                           Updated                True                
cfm-graphql-content                                 0.0.1-CQ650-B0018                         0.0.1-CQ650-B0016, 0.0.1-CQ650-B0018,                                                                                                                                                                     Updated                True                
cloud-config.ui.content                             1.1.2                                     1.0.12, 1.1.2,                                                                                                                                                                                            Updated                True                
com.adobe.granite.activitystreams.content           0.0.46                                    0.0.34, 0.0.46,                                                                                                                                                                                           Updated                True                
com.adobe.granite.backup.content                    0.0.78                                    0.0.74, 0.0.78,                                                                                                                                                                                           Updated                True                
com.adobe.granite.cloudsettings.content             1.3.15-CQ650-B0004                        1.2.4, 1.3.14, 1.3.15-CQ650-B0004,                                                                                                                                                                        Updated                True                
com.adobe.granite.conf.ui.content                   0.0.76                                    0.0.60, 0.0.72, 0.0.76,                                                                                                                                                                                   Updated                True                
com.adobe.granite.contexthub.content                1.1.4-B002                                1.1.4, 1.1.4-B002,                                                                                                                                                                                        Updated                True                
com.adobe.granite.datavisualization.content         1.60-CQ650-B0006                          1.60, 1.60-CQ650-B0006,                                                                                                                                                                                   Updated                True                
com.adobe.granite.distribution.content              0.0.125-CQ650-B0001                       0.0.124, 0.0.125-CQ650-B0001,                                                                                                                                                                             Updated                True                
com.adobe.granite.jobs.async.ui.content             1.0.24                                    1.0.24,                                                                                                                                                                                                   Updated                New                 
com.adobe.granite.monitoring.dashboard              1.5.259-CQ650-B0024                       1.5.252, 1.5.259-CQ650-B0020, 1.5.259-CQ650-B0024,                                                                                                                                                        Updated                True                
com.adobe.granite.oauth.server.content              1.0.54-CQ650-B0006                        1.0.54, 1.0.54-CQ650-B0006,                                                                                                                                                                               Updated                True                
com.adobe.granite.offloading.content                1.1.66-CQ650-B0005                        1.1.66, 1.1.66-CQ650-B0005,                                                                                                                                                                               Updated                True                
com.adobe.granite.platform.clientlibs               2.3.1-CQ650-B0026                         2.3.0, 2.3.1-CQ650-B0022, 2.3.1-CQ650-B0026,                                                                                                                                                              Updated                True                
com.adobe.granite.platform.content                  1.0.40-CQ650-B0008                        1.0.40, 1.0.40-CQ650-B0008,                                                                                                                                                                               Updated                True                
com.adobe.granite.platform.i18n                     1.1.266                                   1.1.172, 1.1.266,                                                                                                                                                                                         Updated                True                
com.adobe.granite.platform.login                    1.1.38-CQ650-B0006                        1.1.38, 1.1.38-CQ650-B0006,                                                                                                                                                                               Updated                True                
com.adobe.granite.platform.welcome                  1.1.26-CQ650-B0003                        1.1.26, 1.1.26-CQ650-B0003,                                                                                                                                                                               Updated                True                
com.adobe.granite.references.content                1.1.36-CQ659-B0012                        1.1.36, 1.1.36-CQ659-B0008, 1.1.36-CQ659-B0012,                                                                                                                                                           Updated                True                
com.adobe.granite.replication.content               1.0.41-CQ650-B0002                        1.0.38, 1.0.41-CQ650-B0002,                                                                                                                                                                               Updated                True                
com.adobe.granite.security.content                  0.2.407-CQ650-B0034                       0.2.406, 0.2.407-CQ650-B0026, 0.2.407-CQ650-B0034,                                                                                                                                                        Updated                True                
com.adobe.granite.security.permissions.ui.content   0.0.25-CQ650-B0002                        0.0.22, 0.0.24, 0.0.25-CQ650-B0002,                                                                                                                                                                       Updated                True                
com.adobe.granite.ui.content                        0.8.870-CQ651-B0390                       0.8.870-CQ650-B0002, 0.8.870-CQ651-B0358, 0.8.870-CQ651-B0390,                                                                                                                                            Updated                True                
com.adobe.granite.ui.coralui3                       1.5.42-CQ650-B0226                        1.5.42, 1.5.42-CQ650-B0218, 1.5.42-CQ650-B0226,                                                                                                                                                           Updated                True                
com.adobe.granite.ui.coralui3-rte                   0.3.67-CQ650-B0001                        0.3.18, 0.3.66, 0.3.67-CQ650-B0001,                                                                                                                                                                       Updated                True                
com.adobe.granite.ui.foundation.components          0.2.5-CQ650-B0006                         0.2.4, 0.2.5-CQ650-B0006,                                                                                                                                                                                 Updated                True                
com.adobe.granite.ui.legacy                         1.3.1-CQ650-B0024                         1.3.0, 1.3.1-CQ650-B0018, 1.3.1-CQ650-B0024,                                                                                                                                                              Updated                True                
com.adobe.granite.workflow.content                  1.0.90-CQ650-B0004                        1.0.90, 1.0.90-CQ650-B0004,                                                                                                                                                                               Updated                True                
com.adobe.reef.contexthub.content                   0.4.33-CQ650-B0004                        0.4.18, 0.4.32, 0.4.33-CQ650-B0004,                                                                                                                                                                       Updated                True                
cq-address-content                                  1.4.22                                    1.4.12, 1.4.22,                                                                                                                                                                                           Updated                True                
cq-cloudservices-content                            1.5.45-CQ650-B0001                        1.5.22, 1.5.44, 1.5.45-CQ650-B0001,                                                                                                                                                                       Updated                True                
cq-content                                          6.5.16-CQ650-B008                         6.5.16, 6.5.16-CQ650-B006, 6.5.16-CQ650-B008,                                                                                                                                                             Updated                True                
cq-content-insight-content                          1.5.16-CQ650-B0001                        1.5.4, 1.5.16, 1.5.16-CQ650-B0001,                                                                                                                                                                        Updated                True                
cq-contexthub-content                               1.1.28                                    1.1.12, 1.1.28,                                                                                                                                                                                           Updated                True                
cq-dam-cfm-content                                  0.11.215-CQ650-B0008                      0.11.92, 0.11.215-CQ650-B0002, 0.11.215-CQ650-B0008,                                                                                                                                                      Updated                True                
cq-dam-content                                      2.5.1225-CQ681-B0048                      2.5.410, 2.5.1225-CQ671-B0020, 2.5.1225-CQ681-B0048,                                                                                                                                                      Updated                True                
cq-dam-mac-sync-pkg                                 1.5.28                                    1.5.8, 1.5.28,                                                                                                                                                                                            Updated                True                
cq-dam-projects-addons-content                      0.1.15-CQ650-B0008                        0.1.4, 0.1.15-CQ650-B0008, 0.2.16,                                                                                                                                                                        Not updated            False               
