SUBPACKAGE                                          VERSION                                         
----------                                          -------                                        
cq-dam-stock-integration-content        1.1.19-CQ650-B0006                                                  
cq-social-calendar-pkg                  1.6.35                                                              
cq-social-filelibrary-pkg               1.5.20                                                              
cq-social-forum-pkg                     1.8.31                                                              
cq-social-group-pkg                     1.7.30                                                              
cq-social-qna-pkg                       1.7.26                                                              
cq-ui-wcm-editor-content                1.1.517-CQ650-B0042                                                 
com.adobe.granite.contexthub.content    1.1.4-B002                                                          
com.adobe.granite.datavisualization.co  ntent  1.60-CQ650-B0006                                             
com.adobe.granite.distribution.content  0.0.125-CQ650-B0001                                                 
com.adobe.granite.platform.content      1.0.40-CQ650-B0008                                                  
com.adobe.granite.platform.i18n         1.1.266                                                             
cq-compat-content-disable-preupgrade-j  obs  1.0.0-CQ650-B0002                                              
adobe-aemds-formsportal-pkg             8.0.50-FORMS-20670-B001                                             
cq-dynamicmedia-content                 1.0.512-CQ650-B0032                                                 
cq-mcm-content                          1.4.87-CQ650-B0001                                                  
cq-social-commons-pkg                   1.10.122                                                            
cq-social-content-pkg                   1.8.12                                                              
cq-social-members-pkg                   1.3.17                                                              
cq-social-messaging-pkg                 1.6.26                                                              
dtm-reactor.content                     1.1.16-CQ650-B0003                                                  
com.adobe.granite.jobs.async.ui.conten  t  1.0.24                                                           
com.adobe.granite.monitoring.dashboard  1.5.259-CQ650-B0034                                                 
com.adobe.granite.platform.welcome      1.1.26-CQ650-B0003                                                  
com.adobe.granite.replication.content   1.0.41-CQ650-B0002                                                  
com.adobe.granite.security.content      0.2.407-CQ650-B0038                                                 
com.adobe.granite.security.permissions  .ui.content  0.0.25-CQ650-B0004                                     
com.adobe.granite.ui.content            0.8.870-CQ650-B0440                                                 
com.adobe.reef.contexthub.content       0.4.33-CQ650-B0006                                                  
cq-content                              6.5.16-CQ650-B010                                                   
cq-dam-scene7-viewers-content           2.3.120                                                             
graphiql.ui.apps                        0.0.47-CQ650-B0010                                                  
cq-dam-projects-addons-content          0.1.15-CQ650-B0008                                                  
cq-dam-sample-content                   1.4.10                                                              
