SYMBOLIC NAME                                     BUNDLE NAME                                                  VERSION
org.apache.commons.commons-codec                  Apache Commons Codec                                         1.14.0    
com.adobe.cq.ui.admin                             AEM UI WCM Admin Bundle                                      1.0.0
org.apache.jackrabbit.oak-jackrabbit-api          Jackrabbit API                                               1.22.3
com.adobe.cq.cq-experience-fragments              AEM - Experience Fragments                                   1.2.70
com.adobe.cq.cq-experience-fragments-social       AEM - Experience Fragments Social                            1.2.4
com.adobe.cq.inbox.cq-inbox                       AEM - Inbox Core                                             1.2.20
com.adobe.cq.inbox.cq-inbox-ui                    AEM - Inbox UI                                               1.2.22
com.adobe.cq.cq-target-integration                AEM 6 - Adobe Target integration                             1.3.32
com.adobe.cq.social.cq-social-activitystreams     AEM Communities ActivityStreams - Bundle                     1.6.18
com.adobe.cq.social.cq-social-group               AEM Communities CommunityGroup - Bundle                      1.7.15
com.adobe.cq.social.cq-social-console             AEM Communities Console - Bundle                             1.6.43
com.adobe.cq.social.cq-social-messaging-impl      AEM Communities Messaging - Impl Bundle                      1.6.13
com.adobe.cq.social.cq-social-notifications-impl  AEM Communities Notifications - IMPL Bundle                  1.3.13
com.adobe.cq.social.cq-social-tally               AEM Communities Tally - Bundle                               1.6.3
com.adobe.cq.dam.cq-dynamicmedia-core             AEM Dynamic Media Integration                                1.0.110
com.adobe.cq.dam.cq-dynamicmedia-api              AEM Dynamic Media Integration API                            1.0.8
com.day.cq.cq-personalization                     AEM Personalization                                          5.12.40
com.adobe.cq.com.adobe.cq.ui.commons              AEM UI WCM Commons Bundle                                    1.3.20
com.adobe.cq.cloud-config.ui                      Adobe CQ Cloud Config UI Bundle                              1.1.2
com.adobe.cq.dam.cq-dam-svg-handler               Adobe CQ Creative Cloud APIs - DAM SVG Asset Handler         0.4.6
com.adobe.cq.cq-dam-mac-sync                      Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle  1.5.16.B020
com.day.cq.dam.cq-dam-stock-integration           Adobe CQ DAM Stock Integration                               1.1.12
com.adobe.cq.cq-security-hc                       Adobe CQ Security Health Checks                              1.5.8
com.day.cq.wcm.cq-wcm-translation                 Adobe CQ Translation Workflow                                1.5.70
com.day.cq.wcm.cq-wcm-foundation                  Adobe CQ WCM Foundation Components                           5.12.24
com.day.cq.wcm.cq-command                         Adobe Experience Manager Command Implementation              1.1.12
com.adobe.granite.crx-explorer                    Adobe Granite CRX Explorer                                   1.1.14.CQ650-B0001
com.adobe.granite.crx-packagemgr                  Adobe Granite CRX Package Manager                            1.2.80.CQ650-B0003
com.adobe.granite.crxde-lite                      Adobe Granite CRXDE Lite                                     1.1.44.CQ651-B0006
com.adobe.granite.auth.ims                        Adobe Granite IMSAuthentication Handler                      1.3.12
com.adobe.granite.maintenance.core                Adobe Granite Maintenance Core                               1.3.44
com.adobe.granite.auth.oauth                      Adobe Granite OAuth Authentication Handler                   1.5.54
com.adobe.granite.security.user                   Adobe Granite Security Module                                0.4.62
com.adobe.granite.timeline                        Adobe Granite Timeline Support                               1.0.26
com.day.crx.sling.crx-auth-token                  Adobe Granite Token Authentication                           2.6.0
com.adobe.cq.adobeims.core                        Adobe IMS Core Bundle                                        1.1.18
org.apache.felix.http.jetty                       Apache Felix Http Jetty                                      4.0.16
org.apache.jackrabbit.jackrabbit-api              Apache Jackrabbit API                                        2.20.0.TOMBSTONE
org.apache.sling.engine                           Apache Sling Engine Implementation                           2.7.2
org.apache.sling.commons.metrics-rrd4j            Apache Sling RRD4J metrics reporter                          1.0.4
org.apache.tika.core                              Apache Tika core                                             1.24.0
org.apache.tika.parsers                           Apache Tika parsers                                          1.24.0
com.adobe.cq.cq-product-info-provider             CQ ProductInfo Provider                                      6.5.12
com.day.cq.cq-compat-codeupgrade                  Day Communique 5 Code Upgrade service                        1.7.106
com.day.cq.dam.cq-dam-api                         Day Communique 5 DAM API                                     6.0.22
com.day.cq.dam.cq-dam-commons                     Day Communique 5 DAM Commons                                 5.12.90
com.day.cq.dam.cq-dam-core                        Day Communique 5 DAM Core Implementation                     5.12.242
com.day.cq.dam.cq-scene7-core                     Day Communique 5 DAM Scene7 Integration                      5.12.116
com.day.cq.dam.cq-scene7-api                      Day Communique 5 DAM Scene7 Integration                      5.12.30
com.day.cq.cq-tagging                             Day Communique 5 Tagging                                     5.12.4
com.day.cq.wcm.cq-wcm-core                        Day Communique 5 WCM Core Implementation                     5.12.124.CQ655-B0001
com.day.cq.wcm.cq-msm-core                        Day Communique 5 WCM Multi Site Management Core              5.12.44
com.day.cq.wcm.cq-msm-move-api                    Day Communique 5 WCM Multi Site Management Move Handle API   0.0.6
com.day.cq.wcm.cq-wcm-workflow                    Day Communique 5 WCM Workflow                                5.11.24
com.day.cq.workflow.cq-workflow-api               Day Communique 5 Workflow API                                6.3.2.CQ650-B0002
com.day.cq.workflow.cq-workflow-impl              Day Communique 5 Workflow Implementation                     6.3.8.CQ650-B0003
