SYMBOLIC NAME                                           BUNDLE NAME                                                 VERSION
org.apache.commons.codec                                Apache Commons Codec                                        1.11.0
com.adobe.cq.cq-experience-fragments                    AEM - Experience Fragments                                  1.2.72
com.adobe.cq.cq-target-integration                      AEM 6 - Adobe Target integration                            1.3.36
com.adobe.cq.social.cq-social-commons                   AEM Communities Commons - Bundle                            1.10.80
com.adobe.cq.social.cq-social-group                     AEM Communities CommunityGroup - Bundle                     1.7.16
com.adobe.cq.dam.cq-dynamicmedia-core                   AEM Dynamic Media Integration                               1.0.124
com.adobe.cq.ui.admin                                   AEM UI WCM Admin Bundle                                     1.0.0.CQ650-B004
com.adobe.cq.wcm.com.adobe.cq.wcm.jobs.async            Adobe AEM - WCM Asynchronous Jobs support                   1.0.18
com.adobe.cq.dtm-reactor.core                           Adobe CQ Activation DTM Core Bundle                         1.1.14
com.adobe.cq.cq-dam-index-builder                       Adobe CQ DAM - Index Builder                                1.4.2
com.adobe.cq.dam.cq-scene7-imaging                      Adobe CQ DAM Scene7 Dynamic Imaging                         1.6.52.CQ650-B0026
com.adobe.cq.cq-experiencelog                           Adobe CQ Experience Log Client Bundle                       1.4.16
com.day.cq.cq-search-ext                                Adobe CQ Search Extension                                   1.3.6
com.day.cq.wcm.cq-wcm-foundation                        Adobe CQ WCM Foundation Components                          5.12.30
com.adobe.cq.commerce.cq-commerce-core                  Adobe Communique 5 Commerce Core                            5.17.14
com.day.cq.dam.adobe-dam-idsprint                       Adobe DAM InDesign Print                                    0.4.8
com.day.cq.dam.dam-webdav-support                       Adobe DAM WebDAV Support                                    1.4.6
com.adobe.granite.crxde-lite                            Adobe Granite CRXDE Lite                                    1.1.44.CQ651-B0008
com.adobe.granite.repository.hc.impl                    Adobe Granite Health Checks for the Repository              1.0.65.CQ650-B0002
com.adobe.granite.auth.ims                              Adobe Granite IMSAuthentication Handler                     1.3.12.CQ650-B0002
com.adobe.granite.omnisearch.core                       Adobe Granite Omnisearch Core Module                        1.0.91.CQ650-B0002
com.day.cq.cq-replication                               Adobe Granite Replication                                   6.2.86.CQ650-B0004
com.adobe.granite.ui.commons                            Adobe Granite UI Commons                                    5.10.15.CQ650-B0004
com.adobe.granite.workflow.core                         Adobe Granite Workflow Core                                 2.0.240.CQ650-B0017
pdfcore                                                 Adobe PDF Core                                              3.0.622277
pdfencryption                                           Adobe PDF Encryption                                        3.0.622277
PDFServices.extraction                                  Adobe PDF Extraction services                               3.0.622277
PDFServices.manipulations                               Adobe PDF Manipulation services                             3.0.622277
PDFServices.security                                    Adobe PDF Security services                                 3.0.622277
org.apache.sling.installer.core                         Apache Sling Installer                                      3.9.0.B002
org.apache.sling.jcr.repoinit                           Apache Sling JCR RepoInit module                            1.1.28
org.apache.sling.repoinit.parser                        Apache Sling RepoInit Parser                                1.6.2
org.apache.sling.xss                                    Apache Sling XSS Protection API                             2.2.6
com.adobe.cq.cq-product-info-provider                   CQ ProductInfo Provider                                     6.5.14
com.adobe.cq.com.adobe.cq.projects.core                 CQ Projects - Core Bundle                                   0.5.28
com.day.cq.dam.cq-dam-similaritysearch                  DAM Similarity Search Bundle                                5.12.18
com.day.cq.mcm.cq-mcm-campaign                          Day Communique 5 Adobe Campaign Integration                 1.3.20
com.day.cq.dam.cq-dam-rating                            Day Communique 5 Assets Rating                              1.2.2
