SYMBOLIC NAME                                           BUNDLE NAME                                           VERSION                                
org.apache.servicemix.bundles.abdera-parser             Apache ServiceMix :: Bundles :: abdera-parser         1.1.3.2
org.apache.servicemix.bundles.dom4j                     Apache ServiceMix :: Bundles :: dom4j                 2.1.3.1
org.apache.servicemix.bundles.jdom                      Apache ServiceMix :: Bundles :: jdom                  1.1.0.4
com.adobe.cq.cq-experience-fragments                    AEM - Experience Fragments                            1.2.76
com.adobe.cq.cq-target-integration                      AEM 6 - Adobe Target integration                      1.3.40
com.adobe.cq.social.cq-social-calendar-api              AEM Communities Calendar - API Bundle                 1.6.5
com.adobe.cq.social.cq-social-calendar-impl             AEM Communities Calendar - Impl Bundle                1.6.17
com.adobe.cq.social.cq-social-commons                   AEM Communities Commons - Bundle                      1.10.81
com.adobe.cq.social.cq-social-group                     AEM Communities CommunityGroup - Bundle               1.7.17
com.adobe.cq.social.cq-social-console                   AEM Communities Console - Bundle                      1.6.44
com.adobe.cq.social.cq-social-enablement-api            AEM Communities Enablement Api - Bundle               2.3.6
com.adobe.cq.social.cq-social-enablement-impl           AEM Communities Enablement Impl - Bundle              2.3.19
com.adobe.cq.social.cq-social-filelibrary               AEM Communities File Library - Bundle                 1.5.7
com.adobe.cq.social.cq-social-forum                     AEM Communities Forum - Bundle                        1.8.12
com.adobe.cq.social.cq-social-ideation-impl             AEM Communities Ideation - Bundle                     1.2.11
com.adobe.cq.social.cq-social-ideation-api              AEM Communities Ideation API - Bundle                 1.2.6
com.adobe.cq.social.cq-social-journal                   AEM Communities Journal - Bundle                      1.6.14
com.adobe.cq.social.cq-social-members-api               AEM Communities Members API - Bundle                  1.3.4
com.adobe.cq.social.cq-social-members-impl              AEM Communities Members Impl - Bundle                 1.3.10
com.adobe.cq.social.cq-social-messaging-api             AEM Communities Messaging - API Bundle                1.6.7
com.adobe.cq.social.cq-social-messaging-impl            AEM Communities Messaging - Impl Bundle               1.6.14
com.adobe.cq.social.cq-social-qna                       AEM Communities QnA - Bundle                          1.7.11
com.adobe.cq.social.cq-social-review                    AEM Communities Review - Bundle                       1.6.6
com.adobe.cq.social.cq-social-sync                      AEM Communities Sync - Bundle                         1.3.10
com.adobe.cq.dam.cq-dynamicmedia-core                   AEM Dynamic Media Integration                         1.0.130
com.day.cq.cq-personalization                           AEM Personalization                                   5.12.44
org.apache.abdera.client                                Abdera Client                                         1.1.3
org.apache.abdera.core                                  Abdera Core                                           1.1.3
org.apache.abdera.extensions-media                      Abdera Extensions - Media                             1.1.3
org.apache.abdera.extensions-opensearch                 Abdera Extensions - OpenSearch                        1.1.3
org.apache.abdera.server                                Abdera Server                                         1.1.3
com.adobe.cq.wcm.com.adobe.cq.wcm.jobs.async            Adobe AEM - WCM Asynchronous Jobs support             1.0.20
com.adobe.cq.dtm-reactor.core                           Adobe CQ Activation DTM Core Bundle                   1.1.16
com.adobe.cq.dam.cq-dam-svg-handler                     Adobe CQ Creative Cloud APIs - DAM SVG Asset Handler  0.4.10
com.day.cq.dam.cq-dam-entitlement                       Adobe CQ DAM Entitlement Implementation               1.3.30
com.adobe.cq.dam.cq-scene7-imaging                      Adobe CQ DAM Scene7 Dynamic Imaging                   1.6.52.CQ650-B0032
com.day.cq.cq-search-ext                                Adobe CQ Search Extension                             1.3.8
com.day.cq.wcm.cq-wcm-translation                       Adobe CQ Translation Workflow                         1.5.74
com.day.cq.wcm.cq-wcm-foundation                        Adobe CQ WCM Foundation Components                    5.12.32
com.day.cq.wcm.cq-command                               Adobe Experience Manager Command Implementation       1.1.16
com.adobe.granite.auth.saml                             Adobe Granite - SAML 2.0 Authentication Handler       1.0.24.CQ650-B0008
