SYMBOLIC NAME                                           BUNDLE NAME                                                   VERSION
com.adobe.cq.remotedam.cq-remotedam-api                 Adobe CQ Remote DAM API Bundle                                0.8.8
com.adobe.cq.remotedam.cq-remotedam-commons             Adobe CQ Remote DAM Commons Bundle                            0.0.8
org.apache.commons.commons-fileupload                   Apache Commons FileUpload                                     1.4.0
org.apache.commons.commons-io                           Apache Commons IO                                             2.7.0
updater.fake.bundle                                     updater.fake.bundle                                           1.0
com.adobe.cq.cq-target-integration                      AEM 6 - Adobe Target integration                              1.3.42
com.adobe.cq.social.cq-social-group                     AEM Communities CommunityGroup - Bundle                       1.7.18
com.adobe.cq.social.cq-social-console                   AEM Communities Console - Bundle                              1.6.45
com.adobe.cq.social.cq-social-handlebars                AEM Communities Handlebars Scripting Engine - Bundle          1.10.19
com.adobe.cq.social.cq-social-journal                   AEM Communities Journal - Bundle                              1.6.15
com.adobe.cq.social.cq-social-rdb-provider              AEM Communities Relational Social Resource Provider - Bundle  1.3.15
com.adobe.cq.dtm-reactor.core                           Adobe CQ Activation DTM Core Bundle                           1.1.18
com.day.cq.dam.cq-dam-entitlement                       Adobe CQ DAM Entitlement Implementation                       1.3.32
com.adobe.cq.dam.cq-scene7-imaging                      Adobe CQ DAM Scene7 Dynamic Imaging                           1.6.52.CQ650-B0036
com.adobe.cq.remotedam.cq-remotedam-server-core         Adobe CQ Remote DAM Server Core                               1.1.34
com.adobe.cq.remotedam.cq-remotedam-client-core         Adobe CQ Remote Dam Client Core Bundle                        1.0.22
com.day.cq.wcm.cq-wcm-translation                       Adobe CQ Translation Workflow                                 1.5.76
com.adobe.cq.commerce.cq-commerce-core                  Adobe Communique 5 Commerce Core                              5.17.16
com.day.cq.wcm.cq-command                               Adobe Experience Manager Command Implementation               1.1.18
com.adobe.granite.acp.platform                          Adobe Granite ACP Platform                                    0.3.22
com.adobe.granite.crx-packagemgr                        Adobe Granite CRX Package Manager                             1.2.80.CQ650-B0006
com.adobe.granite.rest.api                              Adobe Granite RESTful API Core                                1.1.16.CQ650-B0005
com.adobe.granite.security.ui                           Adobe Granite Security UI Module                              1.0.58.CQ650-B0003
com.adobe.granite.distribution.core                     Adobe Granite Sling Distribution - Core                       0.2.54
com.day.crx.sling.crx-auth-token                        Adobe Granite Token Authentication                            2.6.10
com.adobe.granite.ui.clientlibs                         Adobe Granite UI Clientlibs                                   1.0.92.CQ650-B0002
org.apache.commons.commons-collections4                 Apache Commons Collections                                    4.4.0
org.apache.commons.lang3                                Apache Commons Lang                                           3.10.0
org.apache.felix.http.jetty                             Apache Felix Http Jetty                                       4.1.4
org.apache.felix.webconsole                             Apache Felix Web Management Console                           4.6.0
org.apache.sling.distribution.core                      Apache Sling Distribution Core                                0.4.0.B002
org.apache.sling.jcr.base                               Apache Sling JCR Base Bundle                                  3.1.6
