SYMBOLIC NAME                                               BUNDLE NAME                                                        VERSION
org.apache.oltu.oauth2.client                               org.apache.oltu.oauth2.client                                      1.0.0
com.adobe.cq.cq-experience-fragments                        AEM - Experience Fragments                                         1.2.78
com.adobe.cq.social.cq-social-commons                       AEM Communities Commons - Bundle                                   1.10.82
com.adobe.cq.social.cq-social-handlebars                    AEM Communities Handlebars Scripting Engine - Bundle               1.10.20
com.adobe.cq.social.cq-social-messaging-api                 AEM Communities Messaging - API Bundle                             1.6.8
com.adobe.cq.social.cq-social-messaging-impl                AEM Communities Messaging - Impl Bundle                            1.6.15
com.adobe.cq.social.cq-social-moderation-spamdetector-core  AEM Communities Spam Detection Core - Bundle                       3.3.1
com.adobe.cq.dam.cq-dynamicmedia-core                       AEM Dynamic Media Integration                                      1.0.136
com.adobe.cq.wcm.com.adobe.cq.wcm.jobs.async                Adobe AEM - WCM Asynchronous Jobs support                          1.0.26
com.day.cq.cq-compat-configupdate                           Adobe AEM Configuration Updater                                    4.0.2
com.day.cq.dam.cq-dam-entitlement                           Adobe CQ DAM Entitlement Implementation                            1.3.36
com.adobe.cq.dam.cq-scene7-imaging                          Adobe CQ DAM Scene7 Dynamic Imaging                                1.6.52.CQ650-B0038
com.day.cq.dam.cq-dam-annotation-print                      Adobe CQ DAM annotation print implementation                       0.2.6
com.day.cq.wcm.cq-wcm-translation                           Adobe CQ Translation Workflow                                      1.5.84
com.day.cq.wcm.cq-wcm-foundation                            Adobe CQ WCM Foundation Components                                 5.12.38
com.adobe.cq.wcm.cq-wcm-launches-core                       Adobe Communique 5 WCM Launches Core                               5.13.30
com.adobe.granite.auth.saml                                 Adobe Granite - SAML 2.0 Authentication Handler                    1.0.24.CQ650-B0010
com.adobe.granite.acp.platform                              Adobe Granite ACP Platform                                         0.3.28
com.adobe.granite.jobs.async                                Adobe Granite Async Jobs                                           1.0.32
com.day.cq.cq-authhandler                                   Adobe Granite Authentication Handler                               5.6.92.CQ650-B0003
com.adobe.granite.omnisearch.core                           Adobe Granite Omnisearch Core Module                               1.0.91.CQ650-B0004
com.adobe.granite.references.core                           Adobe Granite References Core Bundle                               1.1.0.CQ659-B0002
com.adobe.granite.jetty.ssl                                 Adobe Granite SSL ContextFactory for Jetty                         1.0.4.CQ650-B0005
com.adobe.granite.distribution.core                         Adobe Granite Sling Distribution - Core                            0.2.54.B0002
com.adobe.granite.threaddump                                Adobe Granite Thread Dumps collector                               1.0.36.CQ650-B0001
com.day.crx.sling.crx-auth-token                            Adobe Granite Token Authentication                                 2.6.12
com.adobe.cq.adobeims.core                                  Adobe IMS Core Bundle                                              1.1.22
org.apache.httpcomponents.httpclient                        Apache Apache HttpClient OSGi bundle                               4.5.4.B003
org.apache.commons.commons-io                               Apache Commons IO                                                  2.8.0
org.apache.felix.scr                                        Apache Felix Declarative Services                                  2.1.20
org.apache.felix.http.jetty                                 Apache Felix Http Jetty                                            4.1.10
org.apache.felix.inventory                                  Apache Felix Inventory                                             1.1.0
org.apache.felix.webconsole                                 Apache Felix Web Management Console                                4.6.2
org.apache.servicemix.bundles.rhino                         Apache ServiceMix :: Bundles :: rhino                              1.7.13.1
org.apache.sling.distribution.core                          Apache Sling Distribution Core (Adobe Vendor Branch)               0.4.0.B006
org.apache.sling.engine                                     Apache Sling Engine Implementation                                 2.7.4
org.apache.sling.installer.factory.configuration            Apache Sling Installer Configuration Admin Support                 1.3.4
org.apache.sling.resourceresolver                           Apache Sling Resource Resolver                                     1.7.2
org.apache.sling.xss                                        Apache Sling XSS Protection API                                    2.2.12
com.adobe.cq.cq-product-info-provider                       CQ ProductInfo Provider                                            6.5.20
com.day.commons.osgi.wrapper.commons-httpclient             Day Commons Library - HTTP Client 3.1 Bundling                     3.1.0.26
day.commons.datasource.jdbcpool                             Day Commons Library - JDBC pool provider for the Data Source Pool  1.0.26
com.day.cq.mcm.cq-mcm-campaign                              Day Communique 5 Adobe Campaign Integration                        1.3.22
