SYMBOLIC NAME                                      BUNDLE NAME                                                  VERSION
com.adobe.cq.cq-experience-fragments               AEM - Experience Fragments                                   1.1.238
com.adobe.cq.social.cq-social-calendar-api         AEM Communities Calendar - API Bundle                        1.5.9
com.adobe.cq.social.cq-social-calendar-impl        AEM Communities Calendar - Impl Bundle                       1.5.18
com.adobe.cq.social.cq-social-commons              AEM Communities Commons - Bundle                             1.9.81
com.adobe.cq.social.cq-social-group                AEM Communities CommunityGroup - Bundle                      1.6.35
com.adobe.cq.social.cq-social-console              AEM Communities Console - Bundle                             1.5.73
com.adobe.cq.social.cq-social-enablement-api       AEM Communities Enablement Api - Bundle                      2.2.18
com.adobe.cq.social.cq-social-enablement-impl      AEM Communities Enablement Impl - Bundle                     2.2.41
com.adobe.cq.social.cq-social-journal              AEM Communities Journal - Bundle                             1.5.15
com.adobe.cq.social.cq-social-members-api          AEM Communities Members API - Bundle                         1.2.4
com.adobe.cq.social.cq-social-members-impl         AEM Communities Members Impl - Bundle                        1.2.8
com.adobe.cq.social.cq-social-moderation           AEM Communities Moderation - Bundle                          2.4.13
com.adobe.cq.social.cq-social-notifications-api    AEM Communities Notifications - API Bundle                   1.2.12
com.adobe.cq.social.cq-social-notifications-impl   AEM Communities Notifications - IMPL Bundle                  1.2.25
com.adobe.cq.social.cq-social-qna                  AEM Communities QnA - Bundle                                 1.6.11
com.adobe.cq.social.cq-social-sync                 AEM Communities Sync - Bundle                                1.2.6
com.adobe.cq.social.cq-social-user-ugc-management  AEM Communities User Ugc Moderation - Bundle                 1.1.1
com.day.cq.cq-personalization                      AEM Personalization                                          5.11.66
com.adobe.cq.cq-dam-mac-sync                       Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle  1.4.38
com.adobe.cq.dam.cq-scene7-imaging                 Adobe CQ DAM Scene7 Dynamic Imaging                          1.5.18
com.day.cq.dam.cq-dam-stock-integration            Adobe CQ DAM Stock Integration                               1.0.4
com.day.cq.cq-search                               Adobe CQ Search QueryBuilder                                 5.11.10
com.day.cq.wcm.cq-wcm-translation                  Adobe CQ Translation Workflow                                1.4.178
com.day.cq.wcm.cq-command                          Adobe Experience Manager Command Implementation              1.0.12
afml                                               Adobe FO Markup Layout Library                               3.0.595117
com.adobe.granite.auth.saml                        Adobe Granite - SAML 2.0 Authentication Handler              1.0.10.CQ640-B0003
com.adobe.granite.acp.platform                     Adobe Granite ACP Platform                                   0.2.12
com.adobe.granite.asset.core                       Adobe Granite Asset API Implementation                       2.2.56.CQ640-B0002
com.adobe.granite.contexthub.commons               Adobe Granite ContextHub Commons                             0.1.58.CQ640-B0001
com.adobe.granite.repository.hc.impl               Adobe Granite Health Checks for the Repository               1.0.54.CQ640-B0002
com.adobe.granite.auth.oauth                       Adobe Granite OAuth Authentication Handler                   1.5.26.CQ640-B0007
com.adobe.granite.rest.api                         Adobe Granite RESTful API Core                               1.1.10.CQ640-B0002
com.day.cq.cq-replication                          Adobe Granite Replication                                    6.2.46.CQ640-B0008
com.adobe.granite.ui.clientlibs                    Adobe Granite UI Clientlibs                                  1.0.76.CQ640-B0003
com.adobe.granite.ui.clientlibs.processor.gcc      Adobe Granite UI Clientlibs - Google Closure Compiler        1.0.8.CQ640-B0002
com.adobe.granite.ui.commons                       Adobe Granite UI Commons                                     5.10.2.CQ640-B0003
com.adobe.granite.workflow.console                 Adobe Granite Workflow Console                               1.0.86.CQ640-B0006
com.adobe.granite.workflow.core                    Adobe Granite Workflow Core                                  2.0.168.CQ640-B0007
pdfcore                                            Adobe PDF Core                                               3.0.604301
pdfencryption                                      Adobe PDF Encryption                                         3.0.604301
PDFServices.extraction                             Adobe PDF Extraction services                                3.0.604301
