"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/release-notes/TOC.md","","","Release Information","","Leader, Architect, Developer, Data Architect, Data Engineer, Administrator, Business Practitioner",""
"help/release-notes/home.md","Adobe Experience Manager 6.5 Release Notes","The AEM Release Notes cover important information about the latest release of AEM, including what's new, supported platforms, deprecated and removed features, and known issues.","","","",""
"help/release-notes/release-notes.md","General Release Notes for [!DNL Adobe Experience Manager] 6.5","[!DNL Adobe Experience Manager] 6.5 notes outlining the release information, what's new, how to install, and detailed change lists.","","","",""
"help/release-notes/new-features-latest-service-pack.md","What is new in [!DNL Experience Manager] 6.5 Service Pack 8","What's new in [!DNL Experience Manager] 6.5 Service Pack 8","","","",""
"help/release-notes/sp-release-notes.md","[!DNL Experience Manager] 6.5 service pack release notes","Release notes specific to [!DNL Adobe Experience Manager] 6.5 service pack 8","","","",""
"help/release-notes/previous-hotfixes-featurepacks.md","[!DNL Adobe Experience Manager] 6.5 previous Service Pack release notes","Release notes for [!DNL Adobe Experience Manager] 6.5 Service Packs.","","","",""
"help/release-notes/sites.md","AEM Sites Release Notes","Release notes specific to Adobe Experience Manager 6.5 Sites.","","","",""
"help/release-notes/assets.md","Release Notes of [!DNL Adobe Experience Manager Assets] 6.5.","The new capabilities and enhancements to [!DNL Adobe Experience Manager] 6.5 [!DNL Assets].","","","",""
"help/release-notes/jee-patch-installer-65.md","AEM Forms JEE Patch Installer","AEM Forms JEE Patch Installer","","","",""
"help/release-notes/communities-release-notes.md","AEM Communities Release Notes","Release notes specific to Adobe Experience Manager 6.5 Communities.","","","",""
"help/release-notes/deprecated-removed-features.md","Deprecated and Removed Features in Adobe Experience Manager 6.5 release.","Release notes specific to deprecated and removed features in Adobe Experience Manager 6.5.","","","",""
"help/release-notes/known-issues.md","Known Issues","Release notes specific to the Known Issues with Adobe Experience Manager 6.5","","","",""
"help/release-notes/wcm-platform.md","AEM Foundation and repository","Release notes for Adobe Experience Manager platform and repository.","","","",""
"help/release-notes/touch-ui-features-status.md","Touch UI Feature Status","Release notes specific to [!DNL Adobe Experience Manager] Touch-Enabled UI.","","","",""
