"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/sites-authoring/TOC.md","","","Authoring","","Business Practitioner",""
"help/sites-authoring/home.md","AEM 6.5 Authoring User Guide","This guide explains the concepts of authoring in AEM. ","","","",""
"help/sites-authoring/first-steps.md","First Steps for Authors","An overview of the main tasks that you will be using when starting to author content with AEM","","","",""
"help/sites-authoring/page-authoring.md","Authoring Pages","The tasks involved when authoring a content page","","","",""
"help/sites-authoring/qg-page-authoring.md","Quick Guide to Authoring Pages","A quick, high-level guide to the key actions of authoring page content","","","",""
"help/sites-authoring/author.md","Authoring","Concepts of authoring in AEM","","","",""
"help/sites-authoring/basic-handling.md","Basic Handling","Get comfortable with navigating AEM and its basic usage","","","",""
"help/sites-authoring/search.md","Search","Find your content faster with comprehensive search","","","",""
"help/sites-authoring/user-properties.md","Configuring Your Account Environment","AEM provides you with the capability to configure your account and certain aspects of the author environment","","","",""
"help/sites-authoring/inbox.md","Your Inbox","Managing your tasks with the inbox","","","",""
"help/sites-authoring/keyboard-shortcuts.md","Keyboard Shortcuts for Consoles","Save time when authoring by using these keyboard shortcuts","","","",""
"help/sites-authoring/select-ui.md","Selecting your UI","Configure which interface you will use to work in AEM","","","",""
"help/sites-authoring/author-environment-tools.md","Authoring - the Environment and Tools","The authoring environment of AEM provides various mechanisms for organizing and editing your content","","","",""
"help/sites-authoring/annotations.md","Annotations when Editing a Page","Many components directly related to content allow you to add an annotation","","","",""
"help/sites-authoring/managing-pages.md","Creating and Organizing Pages","How to create and manage pages with AEM","","","",""
"help/sites-authoring/editing-content.md","Editing Page Content","Once your page is created you can edit the content to make the updates you require","","","",""
"help/sites-authoring/rich-text-editor.md","Using the Rich Text Editor to Author Content","Using the Rich Text Editor to Author Content","","","",""
"help/sites-authoring/editing-page-properties.md","Editing Page Properties","Define the required properties for a page","","","",""
"help/sites-authoring/publishing-pages.md","Publishing Pages","Publishing Pages","","","",""
"help/sites-authoring/content-fragments.md","Page Authoring with Content Fragments","AEM Content Fragments allow you to design, create, curate, and use page-independent content","","","",""
"help/sites-authoring/experience-fragments.md","Experience Fragments","Experience Fragments","","","",""
"help/sites-authoring/csv-export.md","Export to CSV","Export information about your pages to a CSV file on your local system","","","",""
"help/sites-authoring/default-components.md","Components","AEM comes with a variety of out-of-the-box components that provide comprehensive functionality for website authors","","","",""
"help/sites-authoring/mobile.md","Authoring a Page for Mobile Devices","When authoring for mobile, you can switch between several emulators to see what the end-user sees","","","",""
"help/sites-authoring/troubleshooting.md","Troubleshooting AEM when Authoring","Some issues that you might encounter when using AEM","","","",""
"help/sites-authoring/page-authoring-keyboard-shortcuts.md","Keyboard Shortcuts when Editing Pages","Various keyboard shortcuts are available throughout AEM, including some for page editing","","","",""
"help/sites-authoring/best-practices.md","Best Practices","How to use AEM in the most efficient and most effective way possible","","","",""
"help/sites-authoring/tags.md","Using Tags","Tags are a quick and easy method of classifying content within a website","","","",""
"help/sites-authoring/templates.md","Creating Page Templates","The template defines the structure of the resultant page and with the template editor, creating and maintaining templates is no longer a developer-only task","","","",""
"help/sites-authoring/style-system.md","Style System","The Style System allows a template author to define style classes in the content policy of a component so that a content author is able to select them when editing the component on a page. These styles can be alternative visual variations of a component, making it more flexible.","","","",""
"help/sites-authoring/working-with-page-versions.md","Working with Page Versions","Create, compare, and restore versions of a page","","","",""
"help/sites-authoring/page-diff.md","Page Diff","The page diff feature allows for the convenient side-by-side comparison of two pages with their differences highlighted.","","","",""
"help/sites-authoring/default-components-console.md","Components Console","Components Console","","","",""
"help/sites-authoring/responsive-layout.md","Responsive Layout","AEM allows you to realize a responsive layout for your pages","","","",""
"help/sites-authoring/content-insights.md","Content Insight","Content Insight provides information about page performance using web analytics and SEO recommendation","","","",""
"help/sites-authoring/creating-accessible-content.md","Creating Accessible Content for Adobe Experience Manager (WCAG 2.1 Conformance)","Use AEM to help make web content accessible to, and usable by, persons with disabilities","","","",""
"help/sites-authoring/default-components-designmode.md","Configuring Components in Design Mode","Configuring Components in Design Mode","","","",""
"help/sites-authoring/default-components-foundation.md","Foundation Components","Foundation Components","","","",""
"help/sites-authoring/scaffolding.md","Scaffolding","With scaffolding you can create a scaffold with fields that reflect the structure you want for your pages and then use this form to easily create pages based on this structure","","","",""
"help/sites-authoring/page-analytics-using.md","Seeing Page Analytics Data","Use page analytics data to gauge the effectiveness of their page content","","","",""
"help/sites-authoring/projects.md","Projects","Projects let you group resources into one entity whose common, shared environment makes it easy to manage your projects","","","",""
"help/sites-authoring/touch-ui-managing-projects.md","Managing Projects","Projects lets you organize your project by grouping resources into one entity which can be acessed and managed intheProjects console","","","",""
"help/sites-authoring/task-content.md","Working with Tasks","Tasks represent items of work to be done on content and are used in projects to determine the level of completeness of current tasks","","","",""
"help/sites-authoring/managing-product-information.md","Creative Project and PIM Integration","Creative Project streamlines the entire photo shoot workflow that including generating a photo shoot request, uploading a photo shoot, collaborating on a photo shoot, and packaging approved assets","","","",""
"help/sites-authoring/projects-with-workflows.md","Working with Project Workflows","A variety of project workflows are available out of the box.","","","",""
