"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/sites-classic-ui-authoring/TOC.md","","","","","",""
"help/sites-classic-ui-authoring/home.md","AEM 6.5 Classic UI Authoring User Guide","This guide covers the concepts of authoring in AEM in the classic user interface. ","","","",""
"help/sites-classic-ui-authoring/classic-page-author-first-steps.md","First Steps for Authors","This section gives you an overview of the main tasks that you will be using when starting to author content with Adobe Experience Manager (AEM).","","","",""
"help/sites-classic-ui-authoring/classicui.md","Authoring in the Classic UI","The Classic UI is the desktop-oriented user interface that as been available since CQ5. The following documentation on authoring is focused on this UI. The touch-based UI is the new standard user interface for AEM, designed for use on both touch and desktop devices. Please see the standard authoring documentation for further information.","","","",""
"help/sites-classic-ui-authoring/author-env.md","Working with the Author Environment","The author environment allows you to perform tasks related to authoring (including page authoring and managing assets) and administering tasks you need when generating and maintaining the content on your website.","","","",""
"help/sites-classic-ui-authoring/author-env-basic-handling.md","Basic Handling","An overview of basic handling when using the AEM author environment. It uses the Sites console as a basis.","","","",""
"help/sites-classic-ui-authoring/author-env-user-props.md","Configuring your account environment","AEM provides you with the capability to configure your account and certain aspects of the author environment.","","","",""
"help/sites-classic-ui-authoring/author-env-select-ui.md","Selecting your UI","For convenience to authoring users, the touch-enabled UI does allow for switching to the classic UI when necessary.","","","",""
"help/sites-classic-ui-authoring/author-env-search.md","Search","The author environment of AEM provides various mechanisms for searching for content, dependent on the resource type.","","","",""
"help/sites-classic-ui-authoring/author-env-inbox.md","Your Inbox","You can receive notifications from various areas of AEM such as notification about work items or tasks that represent actions that you need to perform on page content.","","","",""
"help/sites-classic-ui-authoring/author-env-keyboard-shortcuts.md","Keyboard Shortcuts for Consoles","Various keyboard shortcuts are available throughout AEM. Some apply to the use of consoles, others to page editing.","","","",""
"help/sites-classic-ui-authoring/classic-page-author.md","Authoring Pages","There are two overviews to authoring with AEM. (1) First Steps for Authors - an introduction for new authors, and (2) Quick Guide to Authoring Pages - a quick guide (high-level) to the main actions.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-env-tools.md","Authoring - the Environment and Tools","The Websites console allows you to manage and navigate your website. Using two panes, the structure of your website can be expanded and actions taken on the required elements.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-manage-pages.md","Creating and Organizing Pages","This section describes how to create and manage pages with AEM so that you can then create content on those pages.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-edit-content.md","Editing Page Content","Content is added using components that can be dragged onto the page. These can then be edited in place, moved, or deleted.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-rich-text-editor.md","Rich Text Editor","The Rich Text Editor is a basic building block for inputting textual content into AEM.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-publish-pages.md","Publishing Pages","Once you have created and reviewed your content on the author environment, the goal is to make it available on your public website.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-edit-page-properties.md","Editing Page Properties","Properties of a page can vary depending on the nature of the page. For example some pages might be connected to a live copy while others are not and the live copy information will be available as appropriate.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-annotations.md","Annotations when Editing a Page","Adding content to the pages of your website is often subject to discussions prior to it actually being published. To aid this, many components directly related to content allow you to add an annotation.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-troubleshooting.md","Troubleshooting AEM when Authoring","The following section covers some issues that you might encounter when using AEM, together with suggestions on how to troubleshoot them.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-accessible-content.md","Creating Accessible Content (WCAG 2.0 Conformance)","WCAG 2.0 consists of a set of technology independent guidelines and success criteria to help make web content accessible to, and usable by, persons with disabilities.","","","",""
"help/sites-classic-ui-authoring/classic-feature-mobile.md","Authoring a Page for Mobile Devices","When authoring a mobile page, the page is displayed in a way that emulates the mobile device. When authoring the page, you can switch between several emulators to see what the end-user sees when accessing the page.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-edit-mode.md","Components for Page Authoring","The components are available when editing a page from the Components tab of the sidekick and the Insert New Component selector (when you double-click in the Drag components or assets here area).","","","",""
"help/sites-classic-ui-authoring/classic-page-author-keyboard-shortcuts.md","Keyboard Shortcuts when Editing Pages","Various keyboard shortcuts are available throughout AEM. Some apply when editing pages, others to the use of consoles.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-content-fragments.md","Page Authoring with Content Fragments","Content fragments are created and managed as page-independent assets. They allow you to create channel-neutral content, together with variations.","","","",""
"help/sites-classic-ui-authoring/classic-page-author-responsive-layout.md","Responsive Layout","Although the Layout container component is available in the classic UI, its full functionality is only available and supported in the touch-enabled UI.","","","",""
