

#
# Macro definitions
#
$catalogVersion=catalogVersion(catalog(id[default='outdoors']),version[default='Staged'])[unique=true,default='outdoors:Staged']
$prices=europe1Prices[translator=de.hybris.platform.europe1.jalo.impex.Europe1PricesTranslator]
$baseProduct=baseProduct(code,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))
$supercategories=supercategories(code,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))
$picture=picture(code,$catalogVersion)
$thumbnail=thumbnail(code,$catalogVersion)
$medias=medias(code,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))
$gallery=galleryImages(qualifier,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))


#
# Create variant product type Shoes
#
$impex.legacy.scripting=true;
#%import de.hybris.platform.jalo.type.Type;
#%import de.hybris.platform.jalo.type.TypeManager;
#%import java.util.Collections;
#%import java.util.Map;
#%import de.hybris.platform.jalo.SessionContext;
#%import de.hybris.platform.jalo.JaloSession;
#%import de.hybris.platform.jalo.c2l.C2LManager;
#%import de.hybris.platform.jalo.type.AttributeDescriptor;
#%import de.hybris.platform.jalo.type.JaloDuplicateQualifierException;
#%import de.hybris.platform.variants.jalo.VariantAttributeDescriptor;
#%import de.hybris.platform.variants.jalo.VariantType;
#%import de.hybris.platform.variants.jalo.VariantsManager;

#%Type stringType = TypeManager.getInstance().getType("java.lang.String");
#%Type locStringType = TypeManager.getInstance().getType("localized:java.lang.String");
#%Map emptyDefaultValue = Collections.EMPTY_MAP;
#%SessionContext en = JaloSession.getCurrentSession().createSessionContext();
#%en.setLanguage(C2LManager.getInstance().getLanguageByIsoCode("en"));
#%SessionContext noLang = JaloSession.getCurrentSession().createSessionContext();
#%noLang.setLanguage(null);
#// Shoes
#%VariantType vt = VariantsManager.getInstance().createVariantType("Shoes");
#%vt.getAttributeDescriptor("code").setUnique(true);
#%vt.getAttributeDescriptor("catalogVersion").setUnique(true);
#%vt.setName(en, "Shoe");
#%VariantAttributeDescriptor vad = vt.createVariantAttributeDescriptor("size", stringType, AttributeDescriptor.READ_FLAG + AttributeDescriptor.WRITE_FLAG + AttributeDescriptor.SEARCH_FLAG);
#%vad.setName(en, "Size");
#%vad.setPosition(0);
#%vad = vt.createVariantAttributeDescriptor("color", locStringType, AttributeDescriptor.READ_FLAG + AttributeDescriptor.WRITE_FLAG + AttributeDescriptor.SEARCH_FLAG);
#%vad.setName(en, "Color");
#%vad.setPosition(1);
#%vad.setDefaultValue(noLang, emptyDefaultValue);



INSERT_UPDATE Tax;code[unique=true];name[lang=de];name[lang=en];value;currency(isocode)
;VAT_FULL;MwSt voll;VAT full;19;
;VAT_HALF;MwSt halb;VAT half;7;

INSERT_UPDATE ProductTaxGroup;code[unique=true];name[lang=de];name[lang=en];
;Tax_Full;voller Steuersatz;full tax rate;
;Tax_Half;halber Steuersatz;half tax rate;

INSERT_UPDATE TaxRow;pg(code)[unique=true];tax(code)[unique=true];value;currency(isocode);
;Tax_Full;VAT_FULL;19;
;Tax_Half;VAT_HALF;7;

#
# Create a catalog
#
INSERT_UPDATE Catalog;id[unique=true];name[lang=en];name[lang=de];
;outdoors;Outdoors;Outdoors

#
# Create a catalog version
#
INSERT_UPDATE CatalogVersion;catalog(id)[unique=true];version[unique=true];active;writePrincipals(uid)[default=productmanagergroup];
;outdoors;Staged;true;productmanagergroup,productmanager;
;outdoors;Online;false;productmanagergroup,productmanager;

#
# Create a category
#
INSERT_UPDATE Category;code[unique=true];allowedPrincipals(uid);$catalogVersion;name[lang=de];name[lang=en];description[lang=de];description[lang=en];$supercategories;



;men;customergroup;outdoors:Staged;Men's;Men's;;;;
;men;customergroup;outdoors:Online;Men's;Men's;;;;



;shirts;customergroup;outdoors:Staged;Shirts;Shirts;;;men:outdoors:Staged;
;shirts;customergroup;outdoors:Online;Shirts;Shirts;;;men:outdoors:Online;



;shorts;customergroup;outdoors:Staged;Shorts;Shorts;;;men:outdoors:Staged;
;shorts;customergroup;outdoors:Online;Shorts;Shorts;;;men:outdoors:Online;



;pants;customergroup;outdoors:Staged;Pants;Pants;;;men:outdoors:Staged;
;pants;customergroup;outdoors:Online;Pants;Pants;;;men:outdoors:Online;



;coats;customergroup;outdoors:Staged;Coats;Coats;;;men:outdoors:Staged;
;coats;customergroup;outdoors:Online;Coats;Coats;;;men:outdoors:Online;



;women;customergroup;outdoors:Staged;Women's;Women's;;;;
;women;customergroup;outdoors:Online;Women's;Women's;;;;



;shirts_0;customergroup;outdoors:Staged;Shirts;Shirts;;;women:outdoors:Staged;
;shirts_0;customergroup;outdoors:Online;Shirts;Shirts;;;women:outdoors:Online;



;shorts_0;customergroup;outdoors:Staged;Shorts;Shorts;;;women:outdoors:Staged;
;shorts_0;customergroup;outdoors:Online;Shorts;Shorts;;;women:outdoors:Online;



;pants_0;customergroup;outdoors:Staged;Pants;Pants;;;women:outdoors:Staged;
;pants_0;customergroup;outdoors:Online;Pants;Pants;;;women:outdoors:Online;



;coats_0;customergroup;outdoors:Staged;Coats;Coats;;;women:outdoors:Staged;
;coats_0;customergroup;outdoors:Online;Coats;Coats;;;women:outdoors:Online;



;equipment;customergroup;outdoors:Staged;Equipment;Equipment;;;;
;equipment;customergroup;outdoors:Online;Equipment;Equipment;;;;



;hiking;customergroup;outdoors:Staged;Hiking;Hiking;;;equipment:outdoors:Staged;
;hiking;customergroup;outdoors:Online;Hiking;Hiking;;;equipment:outdoors:Online;



;running;customergroup;outdoors:Staged;Running;Running;;;equipment:outdoors:Staged;
;running;customergroup;outdoors:Online;Running;Running;;;equipment:outdoors:Online;



;biking;customergroup;outdoors:Staged;Biking;Biking;;;equipment:outdoors:Staged;
;biking;customergroup;outdoors:Online;Biking;Biking;;;equipment:outdoors:Online;



;skiing;customergroup;outdoors:Staged;Skiing;Skiing;;;equipment:outdoors:Staged;
;skiing;customergroup;outdoors:Online;Skiing;Skiing;;;equipment:outdoors:Online;



;surfing;customergroup;outdoors:Staged;Surfing;Surfing;;;equipment:outdoors:Staged;
;surfing;customergroup;outdoors:Online;Surfing;Surfing;;;equipment:outdoors:Online;



;swimming;customergroup;outdoors:Staged;Swimming;Swimming;;;equipment:outdoors:Staged;
;swimming;customergroup;outdoors:Online;Swimming;Swimming;;;equipment:outdoors:Online;



;sunglasses;customergroup;outdoors:Staged;Sunglasses;Sunglasses;;;equipment:outdoors:Staged;
;sunglasses;customergroup;outdoors:Online;Sunglasses;Sunglasses;;;equipment:outdoors:Online;



;seasonal;customergroup;outdoors:Staged;Seasonal;Seasonal;;;;
;seasonal;customergroup;outdoors:Online;Seasonal;Seasonal;;;;



;summer;customergroup;outdoors:Staged;Summer;Summer;;;seasonal:outdoors:Staged;
;summer;customergroup;outdoors:Online;Summer;Summer;;;seasonal:outdoors:Online;



;apparel;customergroup;outdoors:Staged;Apparel;Apparel;;;summer:outdoors:Staged;
;apparel;customergroup;outdoors:Online;Apparel;Apparel;;;summer:outdoors:Online;



